,equipe_dom,equipe_ext,cote_dom,cote_nul,cote_ext,score,but_dom,but_ext,total_buts,resultat
1743,Wolverhampton,Brentford,2.77,3.41,2.46,1-1,1.0,1.0,2.0,N
1744,Sunderland,London Reds,23.0,7.92,1.12,0-4,0.0,4.0,4.0,E
1745,Manchester Red,Everton,1.6800000000000002,3.53,5.5600000000000005,0-3,0.0,3.0,3.0,E
1746,Brighton,Spurs,1.94,4.2,3.25,1-1,1.0,1.0,2.0,N
1747,Leeds,C. Palace,5.38,3.86,1.63,0-2,0.0,2.0,2.0,E
1748,N. Forest,Newcastle,2.58,3.62,2.52,2-1,2.0,1.0,3.0,D
1749,West Ham,London Blues,2.39,3.7,2.69,2-0,2.0,0.0,2.0,D
1750,Manchester Blue,Manchester Red,1.28,5.95,9.23,5-0,5.0,0.0,5.0,D
1751,Spurs,Brentford,2.09,3.94,3.04,1-1,1.0,1.0,2.0,N
1752,Bournemouth,C. Palace,2.34,3.21,3.12,3-1,3.0,1.0,4.0,D
1753,A. Villa,Everton,1.45,4.38,7.04,3-0,3.0,0.0,3.0,D
1754,Leeds,Wolverhampton,3.43,3.64,2.03,4-0,4.0,0.0,4.0,D
1755,London Blues,Liverpool,2.29,3.77,2.8,2-0,2.0,0.0,2.0,D
1756,Brighton,Fulham,1.94,3.75,3.59,1-2,1.0,2.0,3.0,E
1757,Newcastle,London Reds,2.77,3.39,2.48,0-3,0.0,3.0,3.0,E
1758,West Ham,Sunderland,1.86,4.0,3.67,1-3,1.0,3.0,4.0,E
1759,N. Forest,Burnley,1.54,4.48,5.33,2-2,2.0,2.0,4.0,N
1760,Brentford,London Blues,2.02,4.1,3.13,2-1,2.0,1.0,3.0,D
1761,Liverpool,C. Palace,1.33,5.12,9.09,3-1,3.0,1.0,4.0,D
1762,Leeds,West Ham,4.33,3.95,1.74,2-0,2.0,0.0,2.0,D
1763,Manchester Red,N. Forest,1.53,4.32,5.73,3-1,3.0,1.0,4.0,D
1764,Sunderland,Brighton,7.49,5.3,1.35,1-1,1.0,1.0,2.0,N
1765,Wolverhampton,Manchester Blue,5.31,3.98,1.61,0-0,0.0,0.0,0.0,N
1766,London Reds,Bournemouth,1.29,6.11,8.4,4-1,4.0,1.0,5.0,D
1767,Fulham,A. Villa,2.0,3.77,3.38,3-0,3.0,0.0,3.0,D
1768,Everton,Spurs,2.52,3.59,2.6,0-1,0.0,1.0,1.0,E
1769,Burnley,Newcastle,4.19,3.91,1.77,1-3,1.0,3.0,4.0,E
1770,Liverpool,London Reds,2.26,3.46,3.04,2-0,2.0,0.0,2.0,D
1771,Manchester Red,Bournemouth,1.67,4.19,4.52,5-1,5.0,1.0,6.0,D
1772,Manchester Blue,Brighton,1.34,5.9,7.0,2-1,2.0,1.0,3.0,D
1773,Burnley,C. Palace,3.17,3.21,2.31,0-2,0.0,2.0,2.0,E
1774,West Ham,N. Forest,1.82,3.98,3.85,1-2,1.0,2.0,3.0,E
1775,Fulham,London Blues,2.17,3.87,2.93,0-2,0.0,2.0,2.0,E
1776,Sunderland,Spurs,7.88,5.51,1.33,0-2,0.0,2.0,2.0,E
1777,Leeds,A. Villa,5.03,4.01,1.63,0-0,0.0,0.0,0.0,N
1778,Everton,Brentford,2.72,3.13,2.69,0-3,0.0,3.0,3.0,E
1779,Wolverhampton,Newcastle,3.18,3.74,2.09,3-1,3.0,1.0,4.0,D
1780,London Blues,Sunderland,1.41,4.9,6.83,4-0,4.0,0.0,4.0,D
1781,London Reds,Burnley,1.2,7.21,11.01,2-1,2.0,1.0,3.0,D
1782,N. Forest,Brighton,2.2,3.85,2.89,2-0,2.0,0.0,2.0,D
1783,Brentford,Fulham,2.03,3.96,3.18,3-1,3.0,1.0,4.0,D
1784,Bournemouth,Wolverhampton,1.85,3.58,4.16,3-0,3.0,0.0,3.0,D
1785,Spurs,Leeds,1.33,5.38,8.05,3-0,3.0,0.0,3.0,D
1786,Newcastle,West Ham,1.29,5.68,9.01,2-0,2.0,0.0,2.0,D
1787,A. Villa,Manchester Blue,2.88,3.68,2.27,1-3,1.0,3.0,4.0,E
1788,Everton,Liverpool,3.67,3.64,1.95,2-2,2.0,2.0,4.0,N
1789,C. Palace,Manchester Red,2.0,3.56,3.59,1-1,1.0,1.0,2.0,N
1790,Leeds,London Blues,5.58,4.33,1.54,1-2,1.0,2.0,3.0,E
1791,Manchester Blue,Spurs,1.35,5.83,6.67,2-1,2.0,1.0,3.0,D
1792,Manchester Red,London Reds,4.09,3.52,1.88,1-5,1.0,5.0,6.0,E
1793,N. Forest,A. Villa,1.99,3.55,3.61,0-0,0.0,0.0,0.0,N
1794,Sunderland,Brentford,7.74,4.57,1.4,2-2,2.0,2.0,4.0,N
1795,Fulham,Everton,1.83,3.5700000000000003,4.26,1-0,1.0,0.0,1.0,D
1796,West Ham,Bournemouth,2.05,4.03,3.09,1-1,1.0,1.0,2.0,N
1797,Liverpool,Burnley,1.16,7.94,14.01,2-0,2.0,0.0,2.0,D
1798,Brighton,Newcastle,2.18,3.94,2.87,2-1,2.0,1.0,3.0,D
1799,Wolverhampton,C. Palace,2.46,3.27,2.88,3-0,3.0,0.0,3.0,D
1800,Everton,Sunderland,1.93,3.48,3.91,2-0,2.0,0.0,2.0,D
1801,C. Palace,West Ham,1.87,3.79,3.84,1-1,1.0,1.0,2.0,N
1802,Fulham,Liverpool,3.07,4.02,2.06,1-1,1.0,1.0,2.0,N
1803,London Blues,Manchester Blue,3.05,3.48,2.25,1-2,1.0,2.0,3.0,E
1804,Bournemouth,Brighton,2.44,3.66,2.65,3-3,3.0,3.0,6.0,N
1805,London Reds,Wolverhampton,1.21,6.75,11.27,4-0,4.0,0.0,4.0,D
1806,Spurs,N. Forest,1.51,4.85,5.21,1-4,1.0,4.0,5.0,E
1807,Brentford,Leeds,1.37,5.11,7.58,4-0,4.0,0.0,4.0,D
1808,Burnley,Manchester Red,3.06,3.31,2.32,1-4,1.0,4.0,5.0,E
1809,Newcastle,A. Villa,1.43,4.71,6.7,1-0,1.0,0.0,1.0,D
1810,Newcastle,Spurs,1.45,5.1,5.74,2-0,2.0,0.0,2.0,D
1811,Manchester Blue,Brentford,1.37,5.25,7.21,3-1,3.0,1.0,4.0,D
1812,Brighton,C. Palace,1.84,3.73,4.03,3-2,3.0,2.0,5.0,D
1813,A. Villa,Bournemouth,1.45,5.15,5.62,3-1,3.0,1.0,4.0,D
1814,West Ham,London Reds,6.23,4.28,1.5,1-2,1.0,2.0,3.0,E
1815,N. Forest,London Blues,2.19,3.51,3.14,2-2,2.0,2.0,4.0,N
1816,Liverpool,Manchester Red,1.31,5.41,8.94,1-0,1.0,0.0,1.0,D
1817,Sunderland,Fulham,7.61,4.58,1.41,0-4,0.0,4.0,4.0,E
1818,Wolverhampton,Burnley,1.74,4.11,4.14,1-2,1.0,2.0,3.0,E
1819,Leeds,Everton,4.12,3.34,1.93,4-1,4.0,1.0,5.0,D
1820,Burnley,West Ham,2.67,3.36,2.5700000000000003,2-2,2.0,2.0,4.0,N
1821,Bournemouth,Spurs,2.39,3.74,2.67,2-1,2.0,1.0,3.0,D
1822,Sunderland,Liverpool,12.18,6.72,1.21,0-5,0.0,5.0,5.0,E
1823,Brentford,N. Forest,1.58,4.6,4.75,3-2,3.0,2.0,5.0,D
1824,Manchester Red,Wolverhampton,1.5,4.42,6.05,1-0,1.0,0.0,1.0,D
1825,London Reds,Brighton,1.44,5.26,5.69,2-2,2.0,2.0,4.0,N
1826,London Blues,Newcastle,1.97,3.86,3.43,0-2,0.0,2.0,2.0,E
1827,Everton,Manchester Blue,5.01,3.49,1.74,1-1,1.0,1.0,2.0,N
1828,Fulham,Leeds,1.47,4.37,6.69,2-1,2.0,1.0,3.0,D
1829,C. Palace,A. Villa,2.0,3.56,3.5700000000000003,0-0,0.0,0.0,0.0,N
1830,Newcastle,Brentford,1.54,4.27,5.64,1-2,1.0,2.0,3.0,E
1831,N. Forest,Everton,1.85,3.29,4.64,3-1,3.0,1.0,4.0,D
1832,A. Villa,London Reds,3.33,3.66,2.05,2-3,2.0,3.0,5.0,E
1833,Bournemouth,London Blues,2.44,3.43,2.79,0-1,0.0,1.0,1.0,E
1834,Spurs,C. Palace,1.81,3.99,3.89,0-1,0.0,1.0,1.0,E
1835,Liverpool,Wolverhampton,1.2,6.8,13.13,2-0,2.0,0.0,2.0,D
1836,Manchester Blue,Fulham,1.35,5.43,7.51,2-3,2.0,3.0,5.0,E
1837,West Ham,Manchester Red,2.28,3.56,2.94,1-2,1.0,2.0,3.0,E
1838,Brighton,Burnley,1.44,5.08,5.92,2-0,2.0,0.0,2.0,D
1839,Leeds,Sunderland,3.62,3.78,1.92,1-3,1.0,3.0,4.0,E
1840,Burnley,A. Villa,3.01,3.33,2.34,1-0,1.0,0.0,1.0,D
1841,Wolverhampton,West Ham,2.05,3.61,3.38,3-2,3.0,2.0,5.0,D
1842,C. Palace,London Blues,2.23,3.66,2.95,1-0,1.0,0.0,1.0,D
1843,Fulham,N. Forest,1.7000000000000002,4.21,4.29,2-0,2.0,0.0,2.0,D
1844,Sunderland,Manchester Blue,19.59,7.52,1.14,1-2,1.0,2.0,3.0,E
1845,Everton,Newcastle,3.08,3.42,2.26,1-2,1.0,2.0,3.0,E
1846,Manchester Red,Brighton,1.93,3.98,3.45,3-1,3.0,1.0,4.0,D
1847,Leeds,Liverpool,9.1,5.9,1.28,1-5,1.0,5.0,6.0,E
1848,London Reds,Spurs,1.45,5.22,5.6,1-1,1.0,1.0,2.0,N
1849,Brentford,Bournemouth,1.72,4.48,3.9,2-1,2.0,1.0,3.0,D
1850,Bournemouth,Everton,2.05,3.1,4.01,2-0,2.0,0.0,2.0,D
1851,N. Forest,Sunderland,1.66,4.0,4.77,1-0,1.0,0.0,1.0,D
1852,Liverpool,West Ham,1.22,6.46,11.64,2-2,2.0,2.0,4.0,N
1853,A. Villa,Manchester Red,1.58,4.3,5.13,4-0,4.0,0.0,4.0,D
1854,Brighton,Wolverhampton,1.52,4.5600000000000005,5.43,4-0,4.0,0.0,4.0,D
1855,London Blues,London Reds,3.97,3.52,1.91,0-1,0.0,1.0,1.0,E
1856,Newcastle,Fulham,1.51,4.42,5.77,1-0,1.0,0.0,1.0,D
1857,Spurs,Burnley,1.46,5.35,5.37,4-0,4.0,0.0,4.0,D
1858,Manchester Blue,Leeds,1.11,9.11,21.54,4-0,4.0,0.0,4.0,D
1859,C. Palace,Brentford,2.25,3.5,3.03,0-1,0.0,1.0,1.0,E
1860,West Ham,London Blues,2.48,3.72,2.58,1-0,1.0,0.0,1.0,D
1861,Manchester Red,Brentford,2.0,3.54,3.6,1-3,1.0,3.0,4.0,E
1862,Leeds,Bournemouth,4.59,4.2,1.66,1-2,1.0,2.0,3.0,E
1863,Manchester Blue,N. Forest,1.18,7.41,12.68,4-0,4.0,0.0,4.0,D
1864,Sunderland,Spurs,7.49,5.37,1.35,4-2,4.0,2.0,6.0,D
1865,A. Villa,C. Palace,1.61,4.17,5.02,2-1,2.0,1.0,3.0,D
1866,Newcastle,Brighton,1.47,4.99,5.52,2-0,2.0,0.0,2.0,D
1867,Wolverhampton,Liverpool,3.95,4.04,1.79,3-0,3.0,0.0,3.0,D
1868,Everton,London Reds,6.46,3.68,1.58,1-4,1.0,4.0,5.0,E
1869,Burnley,Fulham,3.48,3.38,2.1,0-1,0.0,1.0,1.0,E
1870,Fulham,London Reds,5.49,4.18,1.57,1-3,1.0,3.0,4.0,E
1871,Newcastle,Manchester Blue,2.3,3.58,2.9,1-0,1.0,0.0,1.0,D
1872,A. Villa,Manchester Red,1.56,4.39,5.17,1-3,1.0,3.0,4.0,E
1873,Wolverhampton,Brentford,2.8,3.44,2.43,1-1,1.0,1.0,2.0,N
1874,Sunderland,Leeds,3.19,3.19,2.31,1-3,1.0,3.0,4.0,E
1875,C. Palace,Brighton,2.26,3.9,2.78,2-0,2.0,0.0,2.0,D
1876,West Ham,Everton,1.95,3.4,3.93,1-0,1.0,0.0,1.0,D
1877,Spurs,N. Forest,1.5,4.97,5.22,1-1,1.0,1.0,2.0,N
1878,Burnley,Bournemouth,2.73,3.61,2.4,1-0,1.0,0.0,1.0,D
1879,London Blues,Liverpool,2.38,3.81,2.65,2-1,2.0,1.0,3.0,D
1880,Spurs,Newcastle,2.27,4.18,2.63,2-1,2.0,1.0,3.0,D
1881,Fulham,West Ham,1.72,4.15,4.19,0-0,0.0,0.0,0.0,N
1882,Brighton,Manchester Red,1.81,3.87,4.03,2-2,2.0,2.0,4.0,N
1883,Wolverhampton,A. Villa,2.47,3.43,2.75,2-0,2.0,0.0,2.0,D
1884,London Blues,Everton,1.6,3.73,5.98,2-0,2.0,0.0,2.0,D
1885,N. Forest,Leeds,1.45,4.2,7.57,3-0,3.0,0.0,3.0,D
1886,Brentford,Liverpool,2.86,4.21,2.11,4-1,4.0,1.0,5.0,D
1887,London Reds,Bournemouth,1.28,6.25,8.63,3-0,3.0,0.0,3.0,D
1888,C. Palace,Manchester Blue,4.15,3.66,1.83,1-1,1.0,1.0,2.0,N
1889,Burnley,Sunderland,2.33,3.49,2.9,1-2,1.0,2.0,3.0,E
1890,Manchester Red,London Reds,4.02,3.45,1.92,0-1,0.0,1.0,1.0,E
1891,Manchester Blue,Brighton,1.34,5.98,6.93,1-2,1.0,2.0,3.0,E
1892,Everton,N. Forest,1.96,3.46,3.84,3-1,3.0,1.0,4.0,D
1893,A. Villa,Spurs,1.65,4.65,4.19,3-2,3.0,2.0,5.0,D
1894,Burnley,Wolverhampton,2.39,3.4,2.88,0-3,0.0,3.0,3.0,E
1895,Liverpool,Bournemouth,1.26,6.3,9.54,3-1,3.0,1.0,4.0,D
1896,Sunderland,Fulham,7.16,4.48,1.43,1-2,1.0,2.0,3.0,E
1897,Newcastle,London Blues,1.46,4.73,6.12,1-2,1.0,2.0,3.0,E
1898,Leeds,Brentford,6.41,4.32,1.49,1-2,1.0,2.0,3.0,E
1899,West Ham,C. Palace,2.37,3.45,2.86,3-1,3.0,1.0,4.0,D
1900,N. Forest,Newcastle,2.6,3.61,2.51,1-0,1.0,0.0,1.0,D
1901,Brentford,Everton,1.72,3.86,4.58,2-0,2.0,0.0,2.0,D
1902,Leeds,Liverpool,9.15,5.89,1.28,0-2,0.0,2.0,2.0,E
1903,London Blues,A. Villa,1.7000000000000002,3.84,4.74,2-1,2.0,1.0,3.0,D
1904,London Reds,Manchester Blue,2.22,3.71,2.93,1-2,1.0,2.0,3.0,E
1905,C. Palace,Sunderland,1.67,4.06,4.61,1-0,1.0,0.0,1.0,D
1906,Bournemouth,Manchester Red,2.32,3.22,3.15,1-2,1.0,2.0,3.0,E
1907,Spurs,Burnley,1.43,5.43,5.7,2-1,2.0,1.0,3.0,D
1908,Fulham,Wolverhampton,1.69,4.18,4.38,3-0,3.0,0.0,3.0,D
1909,Brighton,West Ham,1.59,4.35,4.98,2-1,2.0,1.0,3.0,D
1910,London Reds,Spurs,1.45,5.24,5.54,2-1,2.0,1.0,3.0,D
1911,Newcastle,Liverpool,1.82,4.16,3.69,2-4,2.0,4.0,6.0,E
1912,Manchester Blue,West Ham,1.2,7.07,11.28,4-1,4.0,1.0,5.0,D
1913,Leeds,Burnley,3.32,3.92,1.99,1-1,1.0,1.0,2.0,N
1914,Brentford,Fulham,2.07,3.94,3.1,1-2,1.0,2.0,3.0,E
1915,Bournemouth,Wolverhampton,1.85,3.61,4.11,0-0,0.0,0.0,0.0,N
1916,N. Forest,C. Palace,2.09,3.34,3.54,1-2,1.0,2.0,3.0,E
1917,Brighton,London Blues,1.91,3.85,3.62,2-2,2.0,2.0,4.0,N
1918,Everton,A. Villa,2.26,3.17,3.32,2-0,2.0,0.0,2.0,D
1919,Manchester Red,Sunderland,1.49,4.54,6.01,1-3,1.0,3.0,4.0,E
1920,Wolverhampton,Manchester Red,2.37,3.41,2.9,1-0,1.0,0.0,1.0,D
1921,A. Villa,Newcastle,1.87,4.17,3.5,2-0,2.0,0.0,2.0,D
1923,London Blues,London Reds,3.66,3.44,2.02,2-2,2.0,2.0,4.0,N
1924,Liverpool,West Ham,1.22,6.46,11.32,2-2,2.0,2.0,4.0,N
1925,Fulham,Leeds,1.44,4.55,6.9,2-1,2.0,1.0,3.0,D
1926,Spurs,Bournemouth,1.6800000000000002,4.66,3.98,1-3,1.0,3.0,4.0,E
1927,C. Palace,Brentford,2.41,3.45,2.8200000000000003,2-1,2.0,1.0,3.0,D
1928,Brighton,N. Forest,1.55,4.45,5.26,4-0,4.0,0.0,4.0,D
1929,Sunderland,Manchester Blue,19.14,7.59,1.14,0-6,0.0,6.0,6.0,E
1930,Burnley,A. Villa,3.2,3.35,2.23,2-0,2.0,0.0,2.0,D
1931,London Blues,Manchester Red,1.63,3.95,5.14,2-1,2.0,1.0,3.0,D
1932,Fulham,Newcastle,2.66,3.92,2.33,1-2,1.0,2.0,3.0,E
1933,Spurs,Manchester Blue,3.63,3.98,1.88,1-0,1.0,0.0,1.0,D
1934,C. Palace,Everton,1.93,3.31,4.15,4-1,4.0,1.0,5.0,D
1935,Brighton,Leeds,1.38,4.76,7.86,2-2,2.0,2.0,4.0,N
1936,Wolverhampton,West Ham,2.05,3.6,3.41,1-1,1.0,1.0,2.0,N
1937,Liverpool,Sunderland,1.2,6.83,12.27,5-0,5.0,0.0,5.0,D
1938,London Reds,Brentford,1.44,4.8,6.43,2-2,2.0,2.0,4.0,N
1939,N. Forest,Bournemouth,1.79,4.03,3.94,3-2,3.0,2.0,5.0,D
1940,Newcastle,C. Palace,1.45,4.53,6.77,0-0,0.0,0.0,0.0,N
1941,Burnley,Liverpool,5.52,4.38,1.54,1-1,1.0,1.0,2.0,N
1942,A. Villa,Fulham,1.7000000000000002,4.12,4.39,3-1,3.0,1.0,4.0,D
1943,West Ham,Spurs,2.56,4.07,2.36,1-1,1.0,1.0,2.0,N
1944,Manchester Blue,London Blues,1.34,5.62,7.51,1-0,1.0,0.0,1.0,D
1945,Manchester Red,N. Forest,1.59,4.17,5.25,1-3,1.0,3.0,4.0,E
1946,Bournemouth,Brentford,2.64,3.21,2.71,1-2,1.0,2.0,3.0,E
1947,Leeds,London Reds,17.55,7.01,1.16,0-0,0.0,0.0,0.0,N
1948,Everton,Brighton,2.67,3.55,2.47,1-1,1.0,1.0,2.0,N
1949,Sunderland,Wolverhampton,4.23,3.73,1.8,2-3,2.0,3.0,5.0,E
1950,London Reds,Fulham,1.41,4.92,6.69,3-0,3.0,0.0,3.0,D
1951,Manchester Blue,Newcastle,1.44,5.17,5.87,1-1,1.0,1.0,2.0,N
1952,Manchester Red,A. Villa,1.82,3.66,4.2,1-2,1.0,2.0,3.0,E
1953,Brentford,Wolverhampton,1.57,4.61,4.86,0-0,0.0,0.0,0.0,N
1954,Leeds,Sunderland,3.58,3.84,1.92,1-2,1.0,2.0,3.0,E
1955,Brighton,C. Palace,1.82,3.78,4.08,1-1,1.0,1.0,2.0,N
1956,Everton,West Ham,2.03,3.38,3.67,1-3,1.0,3.0,4.0,E
1957,N. Forest,Spurs,2.14,3.84,3.0,2-2,2.0,2.0,4.0,N
1958,Bournemouth,Burnley,1.71,3.98,4.47,1-2,1.0,2.0,3.0,E
1959,Liverpool,London Blues,1.36,5.15,7.81,4-1,4.0,1.0,5.0,D
1960,A. Villa,Manchester Blue,2.86,3.7,2.27,0-2,0.0,2.0,2.0,E
1961,Burnley,Manchester Red,3.09,3.26,2.33,0-0,0.0,0.0,0.0,N
1962,Fulham,Bournemouth,1.83,4.25,3.61,1-2,1.0,2.0,3.0,E
1963,London Blues,N. Forest,1.45,4.63,6.51,4-0,4.0,0.0,4.0,D
1964,C. Palace,London Reds,5.28,3.93,1.62,0-4,0.0,4.0,4.0,E
1965,Brighton,Liverpool,2.64,3.89,2.36,1-3,1.0,3.0,4.0,E
1966,West Ham,Newcastle,2.84,3.85,2.23,2-0,2.0,0.0,2.0,D
1967,Wolverhampton,Leeds,1.63,3.83,5.45,2-1,2.0,1.0,3.0,D
1968,Spurs,Brentford,1.97,4.03,3.28,2-1,2.0,1.0,3.0,D
1969,Sunderland,Everton,4.85,3.37,1.8,1-0,1.0,0.0,1.0,D
1970,Newcastle,Sunderland,1.25,6.22,10.25,5-1,5.0,1.0,6.0,D
1971,Manchester Blue,Burnley,1.15,8.4,13.71,4-1,4.0,1.0,5.0,D
1972,Manchester Red,Fulham,1.96,3.55,3.74,2-2,2.0,2.0,4.0,N
1973,West Ham,A. Villa,2.33,3.56,2.86,1-2,1.0,2.0,3.0,E
1974,London Reds,Brighton,1.41,5.43,6.04,1-1,1.0,1.0,2.0,N
1975,Leeds,Spurs,6.19,4.91,1.44,2-3,2.0,3.0,5.0,E
1976,Brentford,London Blues,2.0,4.02,3.22,3-0,3.0,0.0,3.0,D
1977,Bournemouth,C. Palace,2.3,3.2,3.2,2-1,2.0,1.0,3.0,D
1978,Liverpool,N. Forest,1.21,6.74,12.22,1-1,1.0,1.0,2.0,N
1979,Everton,Wolverhampton,1.89,3.45,4.16,3-1,3.0,1.0,4.0,D
1980,London Blues,Leeds,1.28,5.34,10.74,4-0,4.0,0.0,4.0,D
1981,Fulham,Manchester Blue,4.33,3.91,1.74,1-3,1.0,3.0,4.0,E
1982,Brighton,Bournemouth,1.65,4.47,4.33,1-2,1.0,2.0,3.0,E
1983,Wolverhampton,Newcastle,3.04,3.77,2.15,2-3,2.0,3.0,5.0,E
1984,Sunderland,A. Villa,6.42,4.2,1.5,2-2,2.0,2.0,4.0,N
1985,Spurs,Everton,1.63,4.03,5.03,3-2,3.0,2.0,5.0,D
1986,C. Palace,Manchester Red,2.09,3.5,3.37,2-1,2.0,1.0,3.0,D
1987,N. Forest,Brentford,2.24,3.38,3.15,1-0,1.0,0.0,1.0,D
1988,London Reds,Liverpool,1.69,4.45,4.11,2-2,2.0,2.0,4.0,N
1989,Burnley,West Ham,2.66,3.45,2.54,1-2,1.0,2.0,3.0,E
1990,Manchester Red,Leeds,1.37,4.66,8.7,3-0,3.0,0.0,3.0,D
1991,Brentford,Manchester Blue,3.73,3.96,1.85,0-5,0.0,5.0,5.0,E
1992,Burnley,A. Villa,3.22,3.28,2.25,1-0,1.0,0.0,1.0,D
1993,Wolverhampton,London Blues,2.63,3.5,2.53,3-0,3.0,0.0,3.0,D
1994,Liverpool,Sunderland,1.19,7.03,12.68,2-1,2.0,1.0,3.0,D
1995,West Ham,Fulham,2.41,3.56,2.75,3-0,3.0,0.0,3.0,D
1996,London Reds,C. Palace,1.38,4.98,7.54,3-0,3.0,0.0,3.0,D
1997,Bournemouth,Spurs,2.5,3.72,2.55,1-0,1.0,0.0,1.0,D
1998,Everton,N. Forest,1.89,3.47,4.13,2-0,2.0,0.0,2.0,D
1999,Newcastle,Brighton,1.46,4.97,5.69,2-3,2.0,3.0,5.0,E
2000,A. Villa,Liverpool,2.16,4.1,2.84,3-0,3.0,0.0,3.0,D
2001,Fulham,Bournemouth,1.86,4.22,3.5,2-1,2.0,1.0,3.0,D
2002,Spurs,Everton,1.64,4.03,5.0,1-2,1.0,2.0,3.0,E
2003,London Blues,Burnley,1.34,5.5,7.67,1-1,1.0,1.0,2.0,N
2004,N. Forest,Manchester Red,1.95,3.5,3.81,0-2,0.0,2.0,2.0,E
2005,Brighton,Wolverhampton,1.5,4.5600000000000005,5.8100000000000005,0-2,0.0,2.0,2.0,E
2006,Manchester Blue,West Ham,1.21,6.91,11.05,3-1,3.0,1.0,4.0,D
2007,Sunderland,London Reds,22.79,8.05,1.12,1-2,1.0,2.0,3.0,E
2008,Leeds,C. Palace,5.27,3.87,1.63,1-0,1.0,0.0,1.0,D
2009,Newcastle,Brentford,1.51,4.44,5.8,3-1,3.0,1.0,4.0,D
2010,Manchester Red,Spurs,1.99,4.01,3.25,1-3,1.0,3.0,4.0,E
2011,C. Palace,Sunderland,1.71,3.99,4.45,0-1,0.0,1.0,1.0,E
2012,N. Forest,Leeds,1.48,4.09,7.1,5-0,5.0,0.0,5.0,D
2013,Everton,Fulham,2.58,3.14,2.83,3-1,3.0,1.0,4.0,D
2014,Liverpool,London Blues,1.34,5.28,7.9,1-1,1.0,1.0,2.0,N
2015,Wolverhampton,Brentford,2.8,3.42,2.44,0-1,0.0,1.0,1.0,E
2016,Burnley,Brighton,3.8,3.95,1.84,1-1,1.0,1.0,2.0,N
2017,West Ham,Newcastle,2.84,3.83,2.24,2-1,2.0,1.0,3.0,D
2018,London Reds,A. Villa,1.38,5.1,7.25,1-1,1.0,1.0,2.0,N
2019,Bournemouth,Manchester Blue,4.93,3.64,1.72,3-1,3.0,1.0,4.0,D
2020,Leeds,Sunderland,3.74,3.78,1.89,0-1,0.0,1.0,1.0,E
2021,A. Villa,C. Palace,1.58,4.23,5.28,2-2,2.0,2.0,4.0,N
2022,Newcastle,Bournemouth,1.29,5.95,8.47,4-0,4.0,0.0,4.0,D
2023,Wolverhampton,West Ham,2.06,3.61,3.35,2-1,2.0,1.0,3.0,D
2024,Manchester Blue,Everton,1.23,6.13,12.32,3-2,3.0,2.0,5.0,D
2025,Brentford,Burnley,1.47,5.17,5.31,2-0,2.0,0.0,2.0,D
2026,Brighton,Liverpool,2.6,3.91,2.38,2-0,2.0,0.0,2.0,D
2027,Fulham,Manchester Red,2.05,3.71,3.3,0-2,0.0,2.0,2.0,E
2028,London Blues,London Reds,3.55,3.47,2.04,1-3,1.0,3.0,4.0,E
2029,Spurs,N. Forest,1.54,4.75,4.99,3-0,3.0,0.0,3.0,D
2030,Everton,Newcastle,2.96,3.35,2.36,1-1,1.0,1.0,2.0,N
2031,London Reds,Brighton,1.43,5.27,5.78,2-2,2.0,2.0,4.0,N
2032,Manchester Red,Manchester Blue,3.5,3.54,2.03,3-0,3.0,0.0,3.0,D
2033,Burnley,West Ham,2.67,3.45,2.53,2-3,2.0,3.0,5.0,E
2034,Sunderland,A. Villa,5.89,4.04,1.56,1-0,1.0,0.0,1.0,D
2035,N. Forest,Fulham,2.18,3.43,3.24,3-2,3.0,2.0,5.0,D
2036,Spurs,Leeds,1.34,5.32,8.13,0-1,0.0,1.0,1.0,E
2037,C. Palace,London Blues,2.19,3.62,3.05,2-0,2.0,0.0,2.0,D
2038,Liverpool,Brentford,1.4,4.78,7.4,0-0,0.0,0.0,0.0,N
2039,Bournemouth,Wolverhampton,1.83,3.66,4.19,1-3,1.0,3.0,4.0,E
2040,Fulham,Spurs,2.18,4.13,2.79,1-2,1.0,2.0,3.0,E
2041,Leeds,A. Villa,4.98,3.91,1.66,0-4,0.0,4.0,4.0,E
2042,Brentford,London Reds,4.58,4.19,1.66,2-1,2.0,1.0,3.0,D
2043,Burnley,Bournemouth,2.85,3.66,2.29,2-0,2.0,0.0,2.0,D
2044,Manchester Blue,N. Forest,1.17,7.72,13.47,4-0,4.0,0.0,4.0,D
2045,Brighton,C. Palace,1.89,3.65,3.9,1-0,1.0,0.0,1.0,D
2046,Wolverhampton,Everton,2.19,3.17,3.48,0-1,0.0,1.0,1.0,E
2047,Newcastle,Manchester Red,1.4,4.8,7.3,3-0,3.0,0.0,3.0,D
2048,West Ham,Liverpool,3.54,4.08,1.88,3-2,3.0,2.0,5.0,D
2049,London Blues,Sunderland,1.4,4.91,7.15,4-2,4.0,2.0,6.0,D
2050,Spurs,Manchester Blue,3.54,4.08,1.88,1-2,1.0,2.0,3.0,E
2051,Manchester Red,Wolverhampton,1.49,4.47,6.02,1-3,1.0,3.0,4.0,E
2052,A. Villa,London Blues,1.65,4.35,4.45,1-3,1.0,3.0,4.0,E
2053,Everton,Burnley,1.76,3.84,4.3,1-0,1.0,0.0,1.0,D
2054,Sunderland,Brighton,7.63,5.38,1.35,0-3,0.0,3.0,3.0,E
