equipe_dom,equipe_ext,cote_dom,cote_nul,cote_ext,score,total_buts,resultat
Brighton,C. Palace,1.84,3.77,3.97,2-1,3,D
London Blues,West Ham,1.47,4.57,6.19,3-1,4,D
Spurs,Manchester Blue,3.67,4.08,1.84,4-1,5,D
Bournemouth,London Blues,2.39,3.4,2.88,0-0,0,N
Wolverhampton,Manchester Red,2.38,3.39,2.89,1-1,2,N
Manchester Blue,Leeds,1.12,8.58,20.27,4-1,5,D
West Ham,N. Forest,1.81,3.98,3.9,2-2,4,N
Newcastle,A. Villa,1.42,4.73,6.88,1-2,3,E
London Reds,London Blues,1.42,5.04,6.41,1-0,1,D
C. Palace,Wolverhampton,1.65,4.09,4.81,0-0,0,N
Burnley,Liverpool,5.37,4.28,1.56,0-5,5,E
West Ham,N. Forest,1.79,3.97,4.0,1-1,2,N
Everton,Fulham,2.6,3.14,2.8,0-0,0,N
Manchester Red,Spurs,1.95,4.02,3.34,2-2,4,N
A. Villa,Brighton,1.68,4.54,4.08,3-3,6,N
Newcastle,Sunderland,1.26,5.98,9.79,2-0,2,D
Bournemouth,Manchester Blue,5.07,3.64,1.7,1-2,3,E
Leeds,Brentford,6.37,4.3,1.49,1-3,4,E
N. Forest,Manchester Red,2.07,3.45,3.48,3-1,4,D
Manchester Blue,Sunderland,1.18,7.49,12.6,0-0,0,N
London Blues,C. Palace,1.7,3.78,4.83,1-1,2,N
Liverpool,West Ham,1.23,6.33,11.39,2-0,2,D
Newcastle,Manchester Blue,2.35,3.51,2.87,0-0,0,N
Everton,London Reds,6.08,3.54,1.63,1-2,3,E
Spurs,N. Forest,1.56,4.72,4.81,2-3,5,E
Manchester Red,Liverpool,2.49,3.77,2.54,0-2,2,E
Leeds,London Blues,5.64,4.27,1.54,0-1,1,E
London Blues,Bournemouth,1.48,4.75,5.77,1-0,1,D
Brentford,Manchester Blue,3.82,4.03,1.82,0-2,2,E
Liverpool,Spurs,1.35,5.54,7.09,3-0,3,D
London Reds,Burnley,1.2,7.3,11.3,2-1,3,D
A. Villa,Leeds,1.27,5.66,10.5,6-0,6,D
Sunderland,London Blues,7.18,4.75,1.41,0-5,5,E
Manchester Red,Brighton,1.96,3.98,3.37,0-2,2,E
Manchester Blue,Wolverhampton,1.19,7.33,12.37,1-1,2,N
West Ham,London Reds,6.13,4.17,1.52,1-1,2,N
C. Palace,West Ham,1.77,3.91,4.16,1-3,4,E
Fulham,N. Forest,1.7,4.16,4.29,3-1,4,D
London Reds,Manchester Red,1.37,5.03,7.55,2-0,2,D
London Blues,Manchester Blue,3.16,3.4,2.23,1-2,3,E
Manchester Red,C. Palace,1.9,3.48,4.07,0-1,1,E
Manchester Blue,A. Villa,1.28,5.87,9.08,1-1,2,N
Brentford,London Blues,1.92,4.14,3.36,1-3,4,E
Newcastle,C. Palace,1.4,4.7,7.42,1-1,2,N
Manchester Blue,Bournemouth,1.23,6.89,10.04,1-3,4,E
London Blues,Leeds,1.28,5.32,10.79,1-0,1,D
A. Villa,Manchester Red,1.58,4.29,5.12,4-1,5,D
C. Palace,N. Forest,1.72,4.01,4.39,1-1,2,N
Newcastle,West Ham,1.3,5.64,8.86,0-0,0,N
Brighton,Manchester Blue,3.6,3.71,1.95,2-3,5,E
Bournemouth,London Blues,2.51,3.39,2.74,0-3,3,E
Liverpool,Manchester Red,1.31,5.32,9.14,5-1,6,D
Brentford,A. Villa,1.84,4.03,3.72,1-2,3,E
Manchester Blue,C. Palace,1.3,5.49,8.99,3-0,3,D
Manchester Red,Everton,1.65,3.62,5.58,2-0,2,D
N. Forest,West Ham,1.8,3.77,4.18,1-0,1,D
Leeds,A. Villa,5.2,4.01,1.62,1-2,3,E
C. Palace,London Blues,2.25,3.66,2.92,0-2,2,E
Newcastle,London Reds,2.73,3.42,2.5,4-0,4,D
Burnley,Manchester Red,3.21,3.29,2.25,3-1,4,D
London Reds,Fulham,1.39,5.02,7.04,4-0,4,D
Manchester Red,Newcastle,2.13,3.76,3.09,2-1,3,D
Sunderland,N. Forest,4.54,3.93,1.71,1-3,4,E
Brentford,Brighton,2.11,4.27,2.84,3-2,5,D
Manchester Blue,West Ham,1.22,6.76,11.06,3-1,4,D
A. Villa,Everton,1.45,4.45,6.88,0-1,1,E
Spurs,C. Palace,1.86,3.91,3.73,1-3,4,E
Liverpool,Burnley,1.15,8.1,14.36,2-0,2,D
Leeds,Bournemouth,4.51,4.25,1.66,0-3,3,E
Manchester Blue,Sunderland,1.18,7.53,12.15,1-0,1,D
Bournemouth,A. Villa,2.25,3.3,3.21,1-0,1,D
West Ham,London Blues,2.41,3.75,2.64,0-0,0,N
N. Forest,London Reds,5.27,3.68,1.67,1-0,1,D
Fulham,Manchester Red,2.02,3.7,3.38,1-1,2,N
Newcastle,Liverpool,1.78,4.24,3.82,0-2,2,E
C. Palace,Brentford,2.3,3.51,2.93,1-1,2,N
Brighton,Leeds,1.36,4.93,8.21,1-0,1,D
Leeds,C. Palace,4.92,3.78,1.69,1-5,6,E
London Reds,Manchester Blue,2.23,3.73,2.92,3-1,4,D
London Blues,Sunderland,1.41,4.84,6.87,4-1,5,D
Spurs,West Ham,1.57,4.66,4.84,4-1,5,D
Manchester Red,N. Forest,1.54,4.28,5.64,2-2,4,N
London Blues,London Reds,3.72,3.47,1.99,1-1,2,N
Manchester Blue,Manchester Red,1.27,5.91,9.61,2-0,2,D
Brighton,A. Villa,1.81,3.88,4.0,3-0,3,D
Liverpool,Manchester Blue,2.07,3.64,3.32,2-1,3,D
Spurs,London Reds,4.27,4.07,1.72,1-1,2,N
Everton,N. Forest,1.9,3.47,4.05,3-0,3,D
Leeds,West Ham,4.09,3.88,1.79,2-1,3,D
Brighton,C. Palace,1.86,3.64,4.01,3-1,4,D
Manchester Red,London Blues,1.88,3.79,3.79,2-2,4,N
C. Palace,A. Villa,2.07,3.52,3.41,2-0,2,D
Spurs,Manchester Red,1.77,4.14,3.96,1-1,2,N
Manchester Blue,Everton,1.23,5.98,12.13,2-1,3,D
London Blues,Liverpool,2.35,3.79,2.69,3-2,5,D
Brighton,West Ham,1.62,4.29,4.74,4-2,6,D
Newcastle,N. Forest,1.25,6.15,10.37,3-0,3,D
Everton,London Blues,2.61,3.23,2.72,1-2,3,E
Leeds,London Reds,17.02,6.85,1.17,0-4,4,E
Brentford,Manchester Red,1.85,4.07,3.65,4-2,6,D
West Ham,C. Palace,2.3,3.46,2.97,0-1,1,E
Wolverhampton,A. Villa,2.4,3.39,2.87,0-0,0,N
Manchester Blue,Newcastle,1.45,5.09,5.71,3-0,3,D
Manchester Red,Leeds,1.35,4.76,9.27,1-1,2,N
Newcastle,Manchester Red,1.41,4.77,6.99,1-0,1,D
Leeds,Manchester Blue,14.04,6.37,1.2,1-3,4,E
A. Villa,Bournemouth,1.45,5.17,5.72,2-3,5,E
Sunderland,Everton,5.06,3.36,1.77,2-1,3,D
West Ham,London Blues,2.34,3.71,2.76,2-1,3,D
Liverpool,Burnley,1.16,8.07,13.8,2-1,3,D
Fulham,N. Forest,1.72,4.17,4.16,1-3,4,E
C. Palace,London Reds,5.2,3.8,1.65,2-3,5,E
Brighton,Spurs,1.97,4.18,3.19,0-1,1,E
Fulham,Manchester Red,2.0,3.75,3.41,2-3,5,E
Fulham,Liverpool,3.15,4.07,2.02,1-2,3,E
Brighton,Sunderland,1.54,4.54,5.28,1-0,1,D
Brentford,Leeds,1.36,5.14,7.75,5-0,5,D
Bournemouth,West Ham,1.98,3.52,3.7,1-2,3,E
Newcastle,A. Villa,1.43,4.71,6.78,0-2,2,E
C. Palace,N. Forest,1.69,4.02,4.58,0-0,0,N
London Blues,Manchester Blue,3.18,3.48,2.18,2-2,4,N
Everton,Wolverhampton,1.96,3.37,3.95,2-1,3,D
London Reds,Spurs,1.43,5.31,5.76,2-0,2,D
Burnley,Manchester Red,3.09,3.3,2.3,2-3,5,E
Burnley,C. Palace,3.3,3.2,2.25,3-1,4,D
A. Villa,Fulham,1.65,4.22,4.57,1-0,1,D
Manchester Blue,Brighton,1.36,5.79,6.61,5-1,6,D
Brentford,Liverpool,2.85,4.21,2.12,1-2,3,E
London Blues,Newcastle,1.98,3.87,3.35,2-0,2,D
Everton,Wolverhampton,1.96,3.39,3.93,1-3,4,E
London Reds,Spurs,1.44,5.27,5.66,3-2,5,D
N. Forest,Sunderland,1.64,4.04,4.93,2-0,2,D
Manchester Red,Bournemouth,1.63,4.29,4.64,2-1,3,D
Brentford,Manchester Blue,3.98,4.09,1.77,3-3,6,N
West Ham,London Reds,6.39,4.27,1.49,0-3,3,E
Liverpool,Burnley,1.16,7.86,13.76,3-1,4,D
Brighton,Spurs,1.98,4.19,3.15,3-1,4,D
Leeds,London Blues,5.94,4.42,1.5,0-3,3,E
Manchester Blue,Leeds,1.12,8.7,20.3,3-1,4,D
Sunderland,Manchester Red,5.7,3.98,1.58,0-0,0,N
Everton,Brentford,2.61,3.12,2.81,1-1,2,N
London Reds,Liverpool,1.68,4.48,4.11,2-0,2,D
A. Villa,West Ham,1.44,4.91,6.13,4-0,4,D
London Blues,Bournemouth,1.55,4.54,5.12,4-1,5,D
N. Forest,Fulham,2.15,3.41,3.3,1-0,1,D
Burnley,Wolverhampton,2.44,3.4,2.81,2-3,5,E
Newcastle,Spurs,1.45,5.13,5.65,2-0,2,D
Liverpool,A. Villa,1.29,5.54,9.5,2-0,2,D
Brentford,Sunderland,1.57,4.64,4.82,2-1,3,D
Newcastle,C. Palace,1.44,4.49,6.9,5-1,6,D
Brighton,Burnley,1.44,5.01,5.99,2-1,3,D
Wolverhampton,London Reds,6.34,4.15,1.51,1-2,3,E
West Ham,Manchester Red,2.21,3.58,3.04,2-0,2,D
London Reds,Brighton,1.45,5.25,5.61,3-2,5,D
N. Forest,C. Palace,2.03,3.34,3.72,1-1,2,N
London Blues,Spurs,1.79,4.23,3.79,1-0,1,D
Manchester Red,Liverpool,2.71,3.74,2.36,3-2,5,D
Everton,Bournemouth,2.1,3.51,3.34,3-1,4,D
Brentford,Leeds,1.37,5.05,7.58,2-2,4,N
A. Villa,Wolverhampton,1.36,5.3,7.23,2-2,4,N
Burnley,Newcastle,4.19,3.93,1.76,0-1,1,E
Manchester Blue,Fulham,1.32,5.6,8.13,4-1,5,D
Sunderland,West Ham,4.98,4.04,1.63,2-1,3,D
London Reds,West Ham,1.27,6.1,9.09,0-1,1,E
Fulham,Brighton,2.28,4.09,2.65,2-4,6,E
Sunderland,Manchester Blue,18.07,7.08,1.16,0-3,3,E
Brentford,Burnley,1.47,5.16,5.4,1-1,2,N
Brighton,Leeds,1.38,4.77,8.13,2-0,2,D
Wolverhampton,Liverpool,3.75,3.93,1.86,1-1,2,N
Manchester Blue,London Blues,1.32,5.72,7.85,3-1,4,D
Spurs,Brentford,2.02,4.01,3.16,1-2,3,E
Newcastle,C. Palace,1.43,4.55,7.03,2-2,4,N
Burnley,London Reds,9.3,4.67,1.35,1-2,3,E
Bournemouth,A. Villa,2.26,3.35,3.13,1-1,2,N
Everton,Fulham,2.49,3.13,2.96,3-0,3,D
Bournemouth,Manchester Blue,5.03,3.64,1.71,1-1,2,N
London Blues,Manchester Red,1.7,3.87,4.67,0-1,1,E
C. Palace,Brentford,2.37,3.43,2.88,2-1,3,D
Sunderland,Wolverhampton,4.4,3.79,1.76,1-2,3,E
Fulham,West Ham,1.79,4.03,3.96,1-1,2,N
Liverpool,Newcastle,1.5,4.69,1.46,1-0,1,D
A. Villa,Brighton,1.65,4.64,4.18,2-2,4,N
N. Forest,Burnley,1.56,4.43,5.16,0-2,2,E
Manchester Red,Bournemouth,1.61,4.32,4.84,0-2,2,E
Wolverhampton,London Blues,2.56,3.53,2.59,1-1,2,N
Burnley,Fulham,3.45,3.4,2.1,2-1,3,D
Manchester Blue,A. Villa,1.28,5.96,9.06,2-1,3,D
West Ham,Leeds,1.59,3.98,5.54,1-0,1,D
Spurs,N. Forest,1.51,4.88,5.16,3-2,5,D
C. Palace,London Reds,5.14,3.77,1.67,0-2,2,E
Newcastle,Sunderland,1.24,6.29,10.53,1-0,1,D
Brentford,Liverpool,2.72,4.18,2.2,2-2,4,N
Bournemouth,Wolverhampton,1.87,3.58,4.08,0-1,1,E
Sunderland,Brentford,7.1,4.41,1.44,3-2,5,D
Leeds,Burnley,3.39,3.95,1.96,1-1,2,N
Fulham,Spurs,2.33,4.11,2.58,3-3,6,N
Brighton,West Ham,1.66,4.22,4.52,2-1,3,D
Liverpool,London Reds,2.35,3.4,2.94,2-0,2,D
N. Forest,C. Palace,2.08,3.3,3.64,0-1,1,E
West Ham,Spurs,2.48,4.03,2.45,3-1,4,D
Leeds,Sunderland,3.56,3.83,1.93,1-4,5,E
Manchester Red,Brentford,2.03,3.53,3.51,2-2,4,N
Brighton,Liverpool,2.56,3.93,2.41,4-0,4,D
Manchester Blue,London Reds,2.23,3.69,2.94,1-2,3,E
A. Villa,Burnley,1.3,6.13,7.99,0-0,0,N
London Blues,Fulham,1.79,3.78,4.2,1-0,1,D
Everton,C. Palace,2.55,3.02,2.96,0-1,1,E
Wolverhampton,Newcastle,3.15,3.75,2.1,1-1,2,N
Bournemouth,N. Forest,1.84,3.65,4.1,4-1,5,D
Brentford,Manchester Blue,3.79,4.07,1.82,2-3,5,E
N. Forest,London Blues,3.56,3.04,2.27,1-3,4,E
Liverpool,Leeds,1.13,8.03,20.65,4-0,4,D
Burnley,West Ham,2.69,3.42,2.53,2-0,2,D
Newcastle,Manchester Red,1.41,4.79,7.11,2-2,4,N
Spurs,Everton,1.67,4.0,4.74,2-2,4,N
Manchester Red,Wolverhampton,1.49,4.43,6.19,3-2,5,D
Fulham,Liverpool,3.16,4.1,2.0,1-1,2,N
Everton,Burnley,1.79,3.75,4.24,1-1,2,N
London Blues,London Reds,3.8,3.47,1.96,0-1,1,E
Sunderland,N. Forest,4.59,3.9,1.71,1-2,3,E
A. Villa,West Ham,1.43,4.93,6.24,2-1,3,D
Leeds,C. Palace,5.13,3.75,1.67,3-0,3,D
Manchester Blue,Newcastle,1.46,5.04,5.59,0-0,0,N
Bournemouth,Brentford,2.57,3.22,2.77,1-0,1,D
Newcastle,Bournemouth,1.31,5.82,8.16,5-0,5,D
Liverpool,N. Forest,1.19,7.0,12.75,5-1,6,D
Spurs,Leeds,1.32,5.43,8.43,2-1,3,D
Manchester Red,A. Villa,1.79,3.69,4.34,1-2,3,E
Wolverhampton,Manchester Blue,5.33,3.94,1.62,3-1,4,D
Brentford,London Blues,1.96,4.08,3.27,3-0,3,D
Burnley,Brighton,3.57,3.87,1.92,1-3,4,E
Newcastle,C. Palace,1.41,4.63,7.32,2-1,3,D
Liverpool,West Ham,1.23,6.35,11.35,0-0,0,N
Brentford,Brighton,2.04,4.29,2.96,1-0,1,D
Burnley,Wolverhampton,2.36,3.39,2.92,2-2,4,N
N. Forest,Fulham,2.21,3.43,3.17,1-1,2,N
London Blues,Sunderland,1.39,4.99,7.13,4-0,4,D
London Reds,A. Villa,1.36,5.18,7.56,4-1,5,D
Manchester Blue,Liverpool,1.64,4.63,4.3,1-2,3,E
Everton,Brighton,2.7,3.52,2.47,0-1,1,E
Manchester Red,Fulham,1.88,3.68,3.88,0-1,1,E
Newcastle,Burnley,1.21,6.97,11.29,0-2,2,E
London Reds,C. Palace,1.38,5.03,7.41,2-0,2,D
N. Forest,West Ham,1.77,3.81,4.31,0-1,1,E
Brentford,Sunderland,1.57,4.67,4.76,2-2,4,N
London Blues,Wolverhampton,1.4,4.8,7.15,5-0,5,D
Wolverhampton,Manchester Blue,5.78,4.09,1.56,0-2,2,E
Liverpool,N. Forest,1.19,6.88,12.88,2-3,5,E
Sunderland,London Reds,23.05,8.02,1.12,0-3,3,E
London Blues,Newcastle,1.96,3.87,3.44,3-0,3,D
Leeds,Manchester Red,4.89,3.9,1.67,4-1,5,D
Burnley,Brentford,3.56,3.43,2.05,0-0,0,N
C. Palace,Everton,1.84,3.44,4.43,1-1,2,N
Brighton,Bournemouth,1.7,4.33,4.14,1-2,3,E
Fulham,A. Villa,2.06,3.76,3.23,0-1,1,E
Newcastle,Wolverhampton,1.25,6.16,10.51,2-2,4,N
Manchester Red,West Ham,1.64,4.07,4.87,2-2,4,N
N. Forest,Manchester Blue,4.35,3.57,1.82,3-0,3,D
Brighton,Fulham,1.97,3.73,3.51,2-1,3,D
Everton,Sunderland,1.96,3.43,3.88,2-3,5,E
Spurs,Liverpool,2.57,4.24,2.3,2-3,5,E
Brentford,London Blues,2.01,4.04,3.18,1-1,2,N
Bournemouth,C. Palace,2.38,3.15,3.09,1-3,4,E
Leeds,Brighton,6.38,5.05,1.42,0-1,1,E
Newcastle,Brentford,1.5,4.46,5.95,3-0,3,D
Wolverhampton,N. Forest,1.93,3.69,3.68,3-1,4,D
Sunderland,Bournemouth,5.62,4.58,1.51,3-2,5,D
Burnley,Everton,2.7,3.0,2.81,1-1,2,N
West Ham,A. Villa,2.23,3.57,3.02,4-1,5,D
Fulham,Sunderland,1.69,4.27,4.3,4-2,6,D
Everton,London Blues,2.53,3.22,2.83,1-1,2,N
Bournemouth,Burnley,1.71,4.05,4.39,1-4,5,E
Spurs,N. Forest,1.53,4.83,5.04,1-1,2,N
Brighton,West Ham,1.62,4.25,4.84,3-2,5,D
Manchester Red,Manchester Blue,3.51,3.52,2.04,0-2,2,E
Brentford,Wolverhampton,1.53,4.74,5.08,1-2,3,E
Sunderland,Leeds,3.31,3.21,2.24,0-1,1,E
Brentford,London Reds,4.81,4.17,1.63,3-1,4,D
Burnley,Fulham,3.6,3.44,2.04,3-1,4,D
Liverpool,Brighton,1.33,5.67,7.52,4-1,5,D
N. Forest,☐ Manchester Red,2.04,3.47,3.53,3-0,3,D
Wolverhampton,Spurs,2.68,3.84,2.35,3-0,3,D
London Blues,Bournemouth,1.5,4.67,5.63,2-0,2,D
West Ham,C. Palace,2.31,3.49,2.93,1-0,1,D
A. Villa,N. Forest,1.36,5.33,7.39,2-0,2,D
London Reds,Wolverhampton,1.21,6.82,11.55,3-0,3,D
Sunderland,West Ham,4.98,4.0,1.64,0-3,3,E
Leeds,Burnley,3.49,3.98,1.92,1-3,4,E
Everton,Brentford,2.67,3.13,2.73,4-1,5,D
Manchester Red,Spurs,1.89,4.04,3.52,2-3,5,E
Fulham,London Blues,2.2,3.84,2.9,1-0,1,D
C. Palace,Liverpool,3.14,3.82,2.08,0-3,3,E
Brighton,Manchester Blue,3.69,3.75,1.91,1-3,4,E
Newcastle,Fulham,1.46,4.6,6.25,1-2,3,E
Spurs,A. Villa,1.79,4.18,3.83,2-0,2,D
Brentford,Bournemouth,1.66,4.62,4.16,3-0,3,D
Liverpool,Sunderland,1.17,7.36,14.01,4-0,4,D
Burnley,West Ham,2.7,3.4,2.53,3-1,4,D
Wolverhampton,Manchester Red,2.3,3.43,3.0,4-2,6,D
A. Villa,Manchester Red,1.56,4.36,5.24,2-2,4,N
Bournemouth,London Reds,6.11,3.81,1.58,2-2,4,N
West Ham,London Blues,2.43,3.69,2.65,0-2,2,E
Fulham,Brentford,3.64,2.99,7.58,0-1,1,E
Sunderland,Manchester Blue,19.01,7.38,1.15,0-0,0,N
Brighton,Spurs,1.94,4.18,3.28,2-1,3,D
C. Palace,N. Forest,1.69,4.05,4.53,1-0,1,D
Manchester Blue,Burnley,1.17,8.02,12.45,1-0,1,D
Manchester Red,Brighton,1.95,4.01,3.37,4-2,6,D
N. Forest,Sunderland,1.65,4.06,4.78,3-1,4,D
Wolverhampton,A. Villa,2.46,3.44,2.76,2-0,2,D
London Blues,Liverpool,2.27,3.82,2.79,2-1,3,D
Spurs,C. Palace,1.88,3.95,3.63,2-1,3,D
Newcastle,West Ham,1.29,5.72,9.17,3-2,5,D
Brentford,Leeds,1.37,5.09,7.58,2-1,3,D
Everton,Bournemouth,2.12,3.52,3.3,2-2,4,N
London Reds,Fulham,1.43,4.83,6.58,0-2,2,E
Bournemouth,Sunderland,1.8,3.72,4.24,2-1,3,D
Leeds,Fulham,5.71,4.2,1.55,1-3,4,E
Burnley,West Ham,2.63,3.45,2.56,3-0,3,D
C. Palace,A. Villa,2.02,3.55,3.51,1-0,1,D
Wolverhampton,Brentford,2.67,3.41,2.54,0-1,1,E
Everton,London Blues,2.41,3.27,2.95,3-2,5,D
Liverpool,Newcastle,1.45,4.89,6.03,2-0,2,D
Manchester Red,N. Forest,1.56,4.24,5.44,1-2,3,E
N. Forest,Liverpool,2.95,3.7,1.16,1-1,2,N
A. Villa,Burnley,1.32,5.9,7.54,2-1,3,D
London Blues,Wolverhampton,1.42,4.72,6.89,0-0,0,N
Fulham,Manchester Blue,4.57,4.03,1.69,0-3,3,E
Sunderland,West Ham,5.12,4.08,1.61,0-4,4,E
Manchester Red,London Reds,4.08,3.48,1.89,3-1,4,D
Brentford,Bournemouth,1.69,4.6,4.01,1-2,3,E
Spurs,Everton,1.59,4.14,5.29,1-2,3,E
Leeds,Liverpool,9.39,5.93,1.27,1-4,5,E
Burnley,Brighton,3.85,3.96,1.83,2-1,3,D
C. Palace,Fulham,2.14,3.57,3.21,2-2,4,N
West Ham,Brentford,2.59,3.53,2.56,1-1,2,N
Wolverhampton,Spurs,2.56,3.86,2.44,4-1,5,D
Bournemouth,London Blues,2.45,3.43,2.77,0-4,4,E
Everton,Manchester Red,2.35,3.1,3.21,0-0,0,N
London Reds,N. Forest,1.23,6.54,10.39,5-0,5,D
Manchester Blue,Newcastle,1.44,5.2,5.8,5-1,6,D
Sunderland,A. Villa,6.13,4.16,1.52,0-4,4,E
Spurs,Bournemouth,1.65,4.72,4.11,3-2,5,D
London Blues,West Ham,1.51,4.46,5.79,3-0,3,D
Fulham,Burnley,1.57,4.61,4.83,1-1,2,N
Newcastle,C. Palace,1.44,4.58,6.9,3-0,3,D
Brighton,Sunderland,1.51,4.64,5.46,2-2,4,N
N. Forest,Leeds,1.46,4.16,7.42,3-0,3,D
Liverpool,Manchester Blue,2.05,3.64,3.37,1-1,2,N
Manchester Red,Wolverhampton,1.52,4.33,5.87,2-0,2,D
Everton,N. Forest,1.86,3.5,4.24,3-1,4,D
C. Palace,Liverpool,3.1,3.83,2.1,1-2,3,E
Sunderland,Fulham,6.85,1.45,1.68,1-1,2,N
Brentford,Brighton,2.06,4.34,2.91,1-3,4,E
West Ham,Spurs,2.55,3.97,2.4,1-4,5,E
Burnley,Newcastle,4.42,3.93,1.73,2-3,5,E
Fulham,Brentford,2.24,3.66,2.93,3-2,5,D
Leeds,C. Palace,5.31,3.87,1.63,0-1,1,E
Liverpool,Burnley,1.16,8.02,14.14,1-1,2,N
Everton,Wolverhampton,1.98,3.4,3.82,0-2,2,E
Manchester Red,West Ham,1.64,4.04,4.96,1-2,3,E
N. Forest,Manchester Blue,4.36,3.62,1.8,0-0,0,N
Wolverhampton,N. Forest,1.95,3.72,3.58,0-2,2,E
Brentford,Newcastle,2.35,4.09,2.57,3-2,5,D
Brighton,Spurs,1.96,4.15,3.25,4-1,5,D
A. Villa,Manchester Red,1.57,4.32,5.18,2-1,3,D
London Blues,Fulham,1.77,3.81,4.28,1-3,4,E
Burnley,Leeds,2.02,3.2,3.97,2-0,2,D
Bournemouth,Everton,2.04,3.08,4.1,2-0,2,D
C. Palace,Manchester Blue,4.22,3.75,1.8,0-1,1,E
Sunderland,Liverpool,11.98,6.49,1.22,1-2,3,E
N. Forest,C. Palace,2.02,3.76,1.35,2-0,2,D
Spurs,Fulham,1.92,3.99,3.46,1-0,1,D
Leeds,Sunderland,3.69,3.8,1.9,2-2,4,N
Liverpool,Brentford,1.43,4.69,6.8,2-0,2,D
Everton,West Ham,2.04,3.38,3.65,2-3,5,E
Wolverhampton,Bournemouth,2.17,3.81,2.97,1-1,2,N
Newcastle,London Blues,1.43,4.84,6.55,1-1,2,N
London Blues,Liverpool,2.33,3.79,2.72,1-3,4,E
West Ham,Wolverhampton,1.81,3.93,3.94,3-2,5,D
Spurs,Newcastle,2.24,4.2,2.67,4-1,5,D
Fulham,Manchester Red,2.02,3.7,3.39,2-2,4,N
A. Villa,Everton,1.49,4.28,6.49,1-1,2,N
Bournemouth,N. Forest,1.87,3.65,4.0,1-3,4,E
Brentford,Leeds,1.36,5.1,7.78,0-0,0,N
Brighton,London Reds,4.26,3.79,1.78,1-1,2,N
Leeds,London Blues,5.38,4.26,1.56,0-0,0,N
Manchester Blue,Brentford,1.35,5.37,7.52,2-0,2,D
Everton,Brighton,2.62,3.52,2.54,0-2,2,E
Liverpool,Spurs,1.38,5.42,6.7,1-3,4,E
C. Palace,Sunderland,1.66,4.08,4.74,1-2,3,E
N. Forest,Burnley,1.57,4.36,5.22,3-3,6,N
London Reds,Fulham,1.42,4.91,6.59,2-2,4,N
Bournemouth,West Ham,1.98,3.56,3.67,4-0,4,D
Manchester Red,Liverpool,2.55,3.73,2.5,4-2,6,D
Sunderland,Burnley,3.85,3.97,1.82,1-0,1,D
Fulham,Everton,1.85,3.56,4.21,2-3,5,E
A. Villa,Bournemouth,1.44,5.17,5.76,3-2,5,D
Spurs,Leeds,1.34,5.34,8.07,4-1,5,D
Brighton,Wolverhampton,1.54,4.45,5.42,2-0,2,D
West Ham,N. Forest,1.82,3.94,3.91,2-0,2,D
London Blues,Manchester Blue,3.21,3.47,2.17,0-0,0,N
Brentford,C. Palace,1.88,3.9,3.7,0-0,0,N
Newcastle,London Reds,2.7,3.41,2.52,1-2,3,E
Newcastle,N. Forest,1.25,6.13,10.11,2-2,4,N
Liverpool,Fulham,1.34,5.18,8.44,3-0,3,D
Everton,Brentford,2.74,3.07,2.71,3-2,5,D
London Reds,London Blues,1.42,5.1,6.34,4-1,5,D
C. Palace,West Ham,1.84,3.84,3.89,0-1,1,E
Leeds,Brighton,6.4,5.1,1.41,0-3,3,E
Wolverhampton,Sunderland,1.95,3.77,3.54,1-2,3,E
Manchester Blue,A. Villa,1.29,5.83,8.95,3-1,4,D
Bournemouth,Burnley,1.71,4.05,4.41,3-1,4,D
Manchester Red,Spurs,1.98,4.04,3.24,4-2,6,D
C. Palace,Fulham,2.35,3.47,2.89,4-1,5,D
Manchester Red,Spurs,1.95,4.03,3.36,2-0,2,D
Brentford,London Blues,1.97,4.07,3.27,1-2,3,E
Bournemouth,Wolverhampton,1.92,3.55,3.88,0-2,2,E
Brighton,Sunderland,1.51,4.62,5.48,2-1,3,D
A. Villa,Liverpool,2.08,4.08,2.99,4-0,4,D
Leeds,N. Forest,3.99,3.85,1.82,0-4,4,E
London Reds,West Ham,1.26,6.14,9.42,1-1,2,N
Everton,Newcastle,2.81,3.4,2.44,1-1,2,N
Manchester Blue,Burnley,1.16,8.17,13.04,5-1,6,D
Leeds,Newcastle,7.71,5.35,1.35,0-3,3,E
Sunderland,C. Palace,6.18,3.91,1.56,1-1,2,N
Bournemouth,Everton,2.03,3.1,4.06,2-2,4,N
Manchester Red,London Reds,4.28,3.57,1.83,0-4,4,E
Brentford,Fulham,1.99,3.99,3.27,3-0,3,D
Liverpool,London Blues,1.34,5.28,8.0,2-0,2,D
Burnley,N. Forest,2.46,3.44,2.76,1-3,4,E
Brighton,West Ham,1.6,4.36,4.87,0-2,2,E
Wolverhampton,Burnley,1.77,4.07,4.0,0-0,0,N
Spurs,Liverpool,2.62,4.2,2.27,3-2,5,D
C. Palace,N. Forest,1.73,3.97,4.37,3-2,5,D
West Ham,A. Villa,2.31,3.57,2.88,3-2,5,D
Newcastle,Manchester Blue,2.31,3.56,2.89,1-1,2,N
Everton,Leeds,1.67,3.42,5.87,4-1,5,D
Fulham,Brighton,2.33,4.04,2.61,2-1,3,D
Leeds,Manchester Red,5.26,3.98,1.62,0-1,1,E
London Blues,C. Palace,1.69,3.8,4.92,2-0,2,D
Liverpool,Newcastle,1.48,4.78,5.77,2-2,4,N
