equipe_dom,equipe_ext,cote_dom,cote_nul,cote_ext,score,total_buts,resultat
Spurs,Liverpool,2.68,4.28,2.21,0-1,1,E
Leeds,Newcastle,7.2,5.12,1.38,1-0,1,D
A. Villa,C. Palace,1.58,4.24,5.22,3-0,3,D
Bournemouth,London Blues,2.38,3.38,2.9,2-2,4,N
London Reds,Spurs,1.48,5.12,5.35,1-1,2,N
Manchester Red,Manchester Blue,3.61,3.45,2.03,2-2,4,N
A. Villa,Brentford,1.74,4.02,4.24,4-1,5,D
Brighton,Burnley,1.45,4.97,5.91,4-1,5,D
Sunderland,Leeds,3.35,3.21,3.43,0-0,0,N
Newcastle,Everton,1.35,4.79,9.23,1-0,1,D
Fulham,Manchester Blue,4.1,3.87,1.79,1-0,1,D
A. Villa,West Ham,1.39,5.11,6.8,1-0,1,D
Leeds,Liverpool,9.42,6.01,1.27,1-2,3,E
Sunderland,Everton,4.71,1.83,1.79,1-1,2,N
C. Palace,London Reds,5.18,3.82,1.65,1-0,1,D
Bournemouth,Wolverhampton,1.83,3.63,4.23,1-1,2,N
Brighton,Burnley,1.43,5.12,5.97,2-2,4,N
N. Forest,C. Palace,2.14,3.28,3.46,1-3,4,E
Everton,Manchester Red,2.35,3.16,3.14,0-1,1,E
Liverpool,Bournemouth,1.23,6.6,10.3,3-1,4,D
West Ham,Newcastle,2.86,3.83,2.23,1-3,4,E
Manchester Blue,London Blues,1.33,5.65,7.71,1-2,3,E
Wolverhampton,Fulham,2.7,3.45,2.5,1-1,2,N
London Reds,Brighton,1.45,5.18,5.66,4-0,4,D
Burnley,Spurs,3.63,4.01,1.87,2-0,2,D
Leeds,A. Villa,4.69,3.83,1.71,1-1,2,N
C. Palace,West Ham,1.78,3.91,4.12,3-2,5,D
Manchester Red,Brentford,1.99,3.55,3.64,1-1,2,N
London Blues,Wolverhampton,1.4,4.78,7.21,3-1,4,D
Fulham,Bournemouth,1.84,4.23,3.58,1-1,2,N
A. Villa,Liverpool,2.18,4.01,2.84,2-0,2,D
Newcastle,Leeds,1.18,6.83,15.73,3-1,4,D
London Reds,Everton,1.29,5.33,10.21,4-0,4,D
Bournemouth,London Blues,2.41,3.46,2.82,0-1,1,E
Leeds,C. Palace,4.85,3.71,1.71,1-1,2,N
Wolverhampton,Sunderland,1.89,3.79,3.74,4-0,4,D
Manchester Blue,Manchester Red,1.3,5.66,8.72,5-1,6,D
A. Villa,Newcastle,1.86,4.19,3.54,1-3,4,E
N. Forest,Spurs,2.27,3.85,2.78,2-2,4,N
Manchester Red,Wolverhampton,1.52,4.31,5.85,0-1,1,E
London Reds,Brentford,1.45,4.77,6.28,4-1,5,D
Spurs,West Ham,1.6,4.62,4.59,2-1,3,D
Sunderland,Bournemouth,5.37,4.52,1.53,2-3,5,E
London Blues,Fulham,1.79,3.81,4.18,3-0,3,D
Everton,N. Forest,1.97,3.43,3.84,1-1,2,N
Fulham,Sunderland,1.65,4.33,4.45,0-3,3,E
N. Forest,Brentford,2.23,3.4,3.16,0-2,2,E
A. Villa,= Brighton,1.68,4.52,4.1,2-1,3,D
West Ham,Everton,2.03,3.32,3.76,0-1,1,E
Newcastle,C. Palace,1.41,4.69,7.26,3-3,6,N
Bournemouth,Manchester Red,2.29,3.26,3.16,1-2,3,E
Leeds,Spurs,6.13,5.04,1.43,1-3,4,E
Liverpool,London Blues,1.36,5.16,7.66,2-1,3,D
C. Palace,Liverpool,3.01,3.81,2.15,1-3,4,E
Burnley,Bournemouth,2.9,3.66,2.26,1-1,2,N
Brentford,West Ham,1.66,4.45,4.29,1-2,3,E
Spurs,A. Villa,1.79,4.2,3.82,4-0,4,D
Sunderland,London Blues,7.22,4.68,1.41,0-1,1,E
Everton,Leeds,1.64,3.48,6.18,1-0,1,D
N. Forest,Manchester Blue,4.15,3.55,1.86,0-3,3,E
Manchester Red,Fulham,1.96,3.58,3.68,3-0,3,D
Leeds,Brentford,5.97,4.25,1.52,0-1,1,E
Liverpool,Sunderland,1.18,7.18,13.47,5-0,5,D
Newcastle,Spurs,1.49,4.97,5.37,3-1,4,D
London Blues,Manchester Red,1.63,4.04,5.01,3-1,4,D
Fulham,Burnley,1.62,4.5,4.52,4-1,5,D
Wolverhampton,N. Forest,1.94,3.74,3.63,1-0,1,D
Bournemouth,London Reds,5.91,3.81,1.59,3-1,4,D
N. Forest,Bournemouth,1.89,3.88,3.68,5-0,5,D
Manchester Red,Sunderland,1.49,4.55,5.88,2-1,3,D
Burnley,London Blues,3.49,3.58,2.02,0-0,0,N
Brentford,A. Villa,1.83,4.09,3.72,0-1,1,E
Everton,Newcastle,3.02,3.42,2.29,2-1,3,D
Manchester Blue,Leeds,9.17,21.62,1.83,2-0,2,D
Brighton,Liverpool,2.58,3.88,2.41,1-3,4,E
Spurs,C. Palace,1.74,4.1,4.13,5-1,6,D
