equipe_dom,equipe_ext,cote_dom,cote_nul,cote_ext,score,but_dom,but_ext,total_but,resultat,total_buts
West Ham,Wolverhampton,1.85,3.86,3.85,2-0,2.0,0.0,2.0,D,
London Blues,C. Palace,1.69,3.76,4.9,2-0,2.0,0.0,2.0,D,
N. Forest,Fulham,2.18,3.42,3.24,2-0,2.0,0.0,2.0,D,
Manchester Blue,Sunderland,1.17,7.88,13.28,3-1,3.0,1.0,4.0,D,
Newcastle,Everton,1.36,4.7,9.09,2-1,2.0,1.0,3.0,D,
Brighton,Manchester Red,1.78,3.9,4.11,4-2,4.0,2.0,6.0,D,
Liverpool,Leeds,1.13,7.98,21.26,2-1,2.0,1.0,3.0,D,
Spurs,London Reds,4.5600000000000005,4.19,1.66,3-2,3.0,2.0,5.0,D,
Bournemouth,Brentford,2.59,3.26,2.73,1-0,1.0,0.0,1.0,D,
Everton,Bournemouth,2.17,3.51,3.19,2-1,2.0,1.0,3.0,D,
Sunderland,N. Forest,4.45,3.89,1.73,1-2,1.0,2.0,3.0,E,
West Ham,Liverpool,3.49,4.06,1.9,0-4,0.0,4.0,4.0,E,
Manchester Red,A. Villa,1.83,3.62,4.22,3-1,3.0,1.0,4.0,D,
Wolverhampton,Brighton,2.64,3.87,2.37,0-1,0.0,1.0,1.0,E,
London Reds,London Blues,1.41,5.09,6.4,3-2,3.0,2.0,5.0,D,
Fulham,Newcastle,2.55,3.88,2.44,3-0,3.0,0.0,3.0,D,
Burnley,Spurs,3.68,3.97,1.86,1-1,1.0,1.0,2.0,N,
Leeds,Manchester Blue,14.79,6.63,1.19,1-2,1.0,2.0,3.0,E,
Brentford,C. Palace,1.86,3.91,3.75,1-0,1.0,0.0,1.0,D,
West Ham,A. Villa,2.32,3.53,2.9,1-2,1.0,2.0,3.0,E,
Fulham,C. Palace,2.06,3.59,3.37,4-1,4.0,1.0,5.0,D,
Everton,London Reds,6.39,3.66,1.59,0-2,0.0,2.0,2.0,E,
Manchester Red,London Blues,1.9,3.74,3.73,1-2,1.0,2.0,3.0,E,
Burnley,Brentford,3.78,3.47,1.97,1-2,1.0,2.0,3.0,E,
Manchester Blue,N. Forest,1.18,7.51,12.75,4-0,4.0,0.0,4.0,D,
Brighton,Liverpool,2.64,3.94,2.34,2-2,2.0,2.0,4.0,N,
Sunderland,Bournemouth,5.54,4.5,1.52,0-0,0.0,0.0,0.0,N,
Wolverhampton,Spurs,2.73,3.91,2.28,5-1,5.0,1.0,6.0,D,
Leeds,Newcastle,7.93,5.39,1.34,1-1,1.0,1.0,2.0,N,
Fulham,Burnley,1.61,4.59,4.54,2-1,2.0,1.0,3.0,D,
Manchester Blue,Bournemouth,1.24,6.71,9.39,3-1,3.0,1.0,4.0,D,
A. Villa,Liverpool,2.18,4.08,2.81,1-2,1.0,2.0,3.0,E,
Wolverhampton,Brentford,2.77,3.41,2.46,1-1,1.0,1.0,2.0,N,
Sunderland,London Reds,23.0,7.92,1.12,0-4,0.0,4.0,4.0,E,
Manchester Red,Everton,1.6800000000000002,3.53,5.5600000000000005,0-3,0.0,3.0,3.0,E,
Brighton,Spurs,1.94,4.2,3.25,1-1,1.0,1.0,2.0,N,
Leeds,C. Palace,5.38,3.86,1.63,0-2,0.0,2.0,2.0,E,
N. Forest,Newcastle,2.58,3.62,2.52,2-1,2.0,1.0,3.0,D,
West Ham,London Blues,2.39,3.7,2.69,2-0,2.0,0.0,2.0,D,
Manchester Blue,Manchester Red,1.28,5.95,9.23,5-0,5.0,0.0,5.0,D,
Spurs,Brentford,2.09,3.94,3.04,1-1,1.0,1.0,2.0,N,
Bournemouth,C. Palace,2.34,3.21,3.12,3-1,3.0,1.0,4.0,D,
A. Villa,Everton,1.45,4.38,7.04,3-0,3.0,0.0,3.0,D,
Leeds,Wolverhampton,3.43,3.64,2.03,4-0,4.0,0.0,4.0,D,
London Blues,Liverpool,2.29,3.77,2.8,2-0,2.0,0.0,2.0,D,
Brighton,Fulham,1.94,3.75,3.59,1-2,1.0,2.0,3.0,E,
Newcastle,London Reds,2.77,3.39,2.48,0-3,0.0,3.0,3.0,E,
West Ham,Sunderland,1.86,4.0,3.67,1-3,1.0,3.0,4.0,E,
N. Forest,Burnley,1.54,4.48,5.33,2-2,2.0,2.0,4.0,N,
Brentford,London Blues,2.02,4.1,3.13,2-1,2.0,1.0,3.0,D,
Liverpool,C. Palace,1.33,5.12,9.09,3-1,3.0,1.0,4.0,D,
Leeds,West Ham,4.33,3.95,1.74,2-0,2.0,0.0,2.0,D,
Manchester Red,N. Forest,1.53,4.32,5.73,3-1,3.0,1.0,4.0,D,
Sunderland,Brighton,7.49,5.3,1.35,1-1,1.0,1.0,2.0,N,
Wolverhampton,Manchester Blue,5.31,3.98,1.61,0-0,0.0,0.0,0.0,N,
London Reds,Bournemouth,1.29,6.11,8.4,4-1,4.0,1.0,5.0,D,
Fulham,A. Villa,2.0,3.77,3.38,3-0,3.0,0.0,3.0,D,
Everton,Spurs,2.52,3.59,2.6,0-1,0.0,1.0,1.0,E,
Burnley,Newcastle,4.19,3.91,1.77,1-3,1.0,3.0,4.0,E,
Liverpool,London Reds,2.26,3.46,3.04,2-0,2.0,0.0,2.0,D,
Manchester Red,Bournemouth,1.67,4.19,4.52,5-1,5.0,1.0,6.0,D,
Manchester Blue,Brighton,1.34,5.9,7.0,2-1,2.0,1.0,3.0,D,
Burnley,C. Palace,3.17,3.21,2.31,0-2,0.0,2.0,2.0,E,
West Ham,N. Forest,1.82,3.98,3.85,1-2,1.0,2.0,3.0,E,
Fulham,London Blues,2.17,3.87,2.93,0-2,0.0,2.0,2.0,E,
Sunderland,Spurs,7.88,5.51,1.33,0-2,0.0,2.0,2.0,E,
Leeds,A. Villa,5.03,4.01,1.63,0-0,0.0,0.0,0.0,N,
Everton,Brentford,2.72,3.13,2.69,0-3,0.0,3.0,3.0,E,
Wolverhampton,Newcastle,3.18,3.74,2.09,3-1,3.0,1.0,4.0,D,
London Blues,Sunderland,1.41,4.9,6.83,4-0,4.0,0.0,4.0,D,
London Reds,Burnley,1.2,7.21,11.01,2-1,2.0,1.0,3.0,D,
N. Forest,Brighton,2.2,3.85,2.89,2-0,2.0,0.0,2.0,D,
Brentford,Fulham,2.03,3.96,3.18,3-1,3.0,1.0,4.0,D,
Bournemouth,Wolverhampton,1.85,3.58,4.16,3-0,3.0,0.0,3.0,D,
Spurs,Leeds,1.33,5.38,8.05,3-0,3.0,0.0,3.0,D,
Newcastle,West Ham,1.29,5.68,9.01,2-0,2.0,0.0,2.0,D,
A. Villa,Manchester Blue,2.88,3.68,2.27,1-3,1.0,3.0,4.0,E,
Everton,Liverpool,3.67,3.64,1.95,2-2,2.0,2.0,4.0,N,
C. Palace,Manchester Red,2.0,3.56,3.59,1-1,1.0,1.0,2.0,N,
Leeds,London Blues,5.58,4.33,1.54,1-2,1.0,2.0,3.0,E,
Manchester Blue,Spurs,1.35,5.83,6.67,2-1,2.0,1.0,3.0,D,
Manchester Red,London Reds,4.09,3.52,1.88,1-5,1.0,5.0,6.0,E,
N. Forest,A. Villa,1.99,3.55,3.61,0-0,0.0,0.0,0.0,N,
Sunderland,Brentford,7.74,4.57,1.4,2-2,2.0,2.0,4.0,N,
Fulham,Everton,1.83,3.5700000000000003,4.26,1-0,1.0,0.0,1.0,D,
West Ham,Bournemouth,2.05,4.03,3.09,1-1,1.0,1.0,2.0,N,
Liverpool,Burnley,1.16,7.94,14.01,2-0,2.0,0.0,2.0,D,
Brighton,Newcastle,2.18,3.94,2.87,2-1,2.0,1.0,3.0,D,
Wolverhampton,C. Palace,2.46,3.27,2.88,3-0,3.0,0.0,3.0,D,
Everton,Sunderland,1.93,3.48,3.91,2-0,2.0,0.0,2.0,D,
C. Palace,West Ham,1.87,3.79,3.84,1-1,1.0,1.0,2.0,N,
Fulham,Liverpool,3.07,4.02,2.06,1-1,1.0,1.0,2.0,N,
London Blues,Manchester Blue,3.05,3.48,2.25,1-2,1.0,2.0,3.0,E,
Bournemouth,Brighton,2.44,3.66,2.65,3-3,3.0,3.0,6.0,N,
London Reds,Wolverhampton,1.21,6.75,11.27,4-0,4.0,0.0,4.0,D,
Spurs,N. Forest,1.51,4.85,5.21,1-4,1.0,4.0,5.0,E,
Brentford,Leeds,1.37,5.11,7.58,4-0,4.0,0.0,4.0,D,
Burnley,Manchester Red,3.06,3.31,2.32,1-4,1.0,4.0,5.0,E,
Newcastle,A. Villa,1.43,4.71,6.7,1-0,1.0,0.0,1.0,D,
Newcastle,Spurs,1.45,5.1,5.74,2-0,2.0,0.0,2.0,D,
Manchester Blue,Brentford,1.37,5.25,7.21,3-1,3.0,1.0,4.0,D,
Brighton,C. Palace,1.84,3.73,4.03,3-2,3.0,2.0,5.0,D,
A. Villa,Bournemouth,1.45,5.15,5.62,3-1,3.0,1.0,4.0,D,
West Ham,London Reds,6.23,4.28,1.5,1-2,1.0,2.0,3.0,E,
N. Forest,London Blues,2.19,3.51,3.14,2-2,2.0,2.0,4.0,N,
Liverpool,Manchester Red,1.31,5.41,8.94,1-0,1.0,0.0,1.0,D,
Sunderland,Fulham,7.61,4.58,1.41,0-4,0.0,4.0,4.0,E,
Wolverhampton,Burnley,1.74,4.11,4.14,1-2,1.0,2.0,3.0,E,
Leeds,Everton,4.12,3.34,1.93,4-1,4.0,1.0,5.0,D,
Burnley,West Ham,2.67,3.36,2.5700000000000003,2-2,2.0,2.0,4.0,N,
Bournemouth,Spurs,2.39,3.74,2.67,2-1,2.0,1.0,3.0,D,
Sunderland,Liverpool,12.18,6.72,1.21,0-5,0.0,5.0,5.0,E,
Brentford,N. Forest,1.58,4.6,4.75,3-2,3.0,2.0,5.0,D,
Manchester Red,Wolverhampton,1.5,4.42,6.05,1-0,1.0,0.0,1.0,D,
London Reds,Brighton,1.44,5.26,5.69,2-2,2.0,2.0,4.0,N,
London Blues,Newcastle,1.97,3.86,3.43,0-2,0.0,2.0,2.0,E,
Everton,Manchester Blue,5.01,3.49,1.74,1-1,1.0,1.0,2.0,N,
Fulham,Leeds,1.47,4.37,6.69,2-1,2.0,1.0,3.0,D,
C. Palace,A. Villa,2.0,3.56,3.5700000000000003,0-0,0.0,0.0,0.0,N,
Newcastle,Brentford,1.54,4.27,5.64,1-2,1.0,2.0,3.0,E,
N. Forest,Everton,1.85,3.29,4.64,3-1,3.0,1.0,4.0,D,
A. Villa,London Reds,3.33,3.66,2.05,2-3,2.0,3.0,5.0,E,
Bournemouth,London Blues,2.44,3.43,2.79,0-1,0.0,1.0,1.0,E,
Spurs,C. Palace,1.81,3.99,3.89,0-1,0.0,1.0,1.0,E,
Liverpool,Wolverhampton,1.2,6.8,13.13,2-0,2.0,0.0,2.0,D,
Manchester Blue,Fulham,1.35,5.43,7.51,2-3,2.0,3.0,5.0,E,
West Ham,Manchester Red,2.28,3.56,2.94,1-2,1.0,2.0,3.0,E,
Brighton,Burnley,1.44,5.08,5.92,2-0,2.0,0.0,2.0,D,
Leeds,Sunderland,3.62,3.78,1.92,1-3,1.0,3.0,4.0,E,
Burnley,A. Villa,3.01,3.33,2.34,1-0,1.0,0.0,1.0,D,
Wolverhampton,West Ham,2.05,3.61,3.38,3-2,3.0,2.0,5.0,D,
C. Palace,London Blues,2.23,3.66,2.95,1-0,1.0,0.0,1.0,D,
Fulham,N. Forest,1.7000000000000002,4.21,4.29,2-0,2.0,0.0,2.0,D,
Sunderland,Manchester Blue,19.59,7.52,1.14,1-2,1.0,2.0,3.0,E,
Everton,Newcastle,3.08,3.42,2.26,1-2,1.0,2.0,3.0,E,
Manchester Red,Brighton,1.93,3.98,3.45,3-1,3.0,1.0,4.0,D,
Leeds,Liverpool,9.1,5.9,1.28,1-5,1.0,5.0,6.0,E,
London Reds,Spurs,1.45,5.22,5.6,1-1,1.0,1.0,2.0,N,
Brentford,Bournemouth,1.72,4.48,3.9,2-1,2.0,1.0,3.0,D,
Bournemouth,Everton,2.05,3.1,4.01,2-0,2.0,0.0,2.0,D,
N. Forest,Sunderland,1.66,4.0,4.77,1-0,1.0,0.0,1.0,D,
Liverpool,West Ham,1.22,6.46,11.64,2-2,2.0,2.0,4.0,N,
A. Villa,Manchester Red,1.58,4.3,5.13,4-0,4.0,0.0,4.0,D,
Brighton,Wolverhampton,1.52,4.5600000000000005,5.43,4-0,4.0,0.0,4.0,D,
London Blues,London Reds,3.97,3.52,1.91,0-1,0.0,1.0,1.0,E,
Newcastle,Fulham,1.51,4.42,5.77,1-0,1.0,0.0,1.0,D,
Spurs,Burnley,1.46,5.35,5.37,4-0,4.0,0.0,4.0,D,
Manchester Blue,Leeds,1.11,9.11,21.54,4-0,4.0,0.0,4.0,D,
C. Palace,Brentford,2.25,3.5,3.03,0-1,0.0,1.0,1.0,E,
West Ham,London Blues,2.48,3.72,2.58,1-0,1.0,0.0,1.0,D,
Manchester Red,Brentford,2.0,3.54,3.6,1-3,1.0,3.0,4.0,E,
Leeds,Bournemouth,4.59,4.2,1.66,1-2,1.0,2.0,3.0,E,
Manchester Blue,N. Forest,1.18,7.41,12.68,4-0,4.0,0.0,4.0,D,
Sunderland,Spurs,7.49,5.37,1.35,4-2,4.0,2.0,6.0,D,
A. Villa,C. Palace,1.61,4.17,5.02,2-1,2.0,1.0,3.0,D,
Newcastle,Brighton,1.47,4.99,5.52,2-0,2.0,0.0,2.0,D,
Wolverhampton,Liverpool,3.95,4.04,1.79,3-0,3.0,0.0,3.0,D,
Everton,London Reds,6.46,3.68,1.58,1-4,1.0,4.0,5.0,E,
Burnley,Fulham,3.48,3.38,2.1,0-1,0.0,1.0,1.0,E,
Fulham,London Reds,5.49,4.18,1.57,1-3,1.0,3.0,4.0,E,
Newcastle,Manchester Blue,2.3,3.58,2.9,1-0,1.0,0.0,1.0,D,
A. Villa,Manchester Red,1.56,4.39,5.17,1-3,1.0,3.0,4.0,E,
Wolverhampton,Brentford,2.8,3.44,2.43,1-1,1.0,1.0,2.0,N,
Sunderland,Leeds,3.19,3.19,2.31,1-3,1.0,3.0,4.0,E,
C. Palace,Brighton,2.26,3.9,2.78,2-0,2.0,0.0,2.0,D,
West Ham,Everton,1.95,3.4,3.93,1-0,1.0,0.0,1.0,D,
Spurs,N. Forest,1.5,4.97,5.22,1-1,1.0,1.0,2.0,N,
Burnley,Bournemouth,2.73,3.61,2.4,1-0,1.0,0.0,1.0,D,
London Blues,Liverpool,2.38,3.81,2.65,2-1,2.0,1.0,3.0,D,
Spurs,Newcastle,2.27,4.18,2.63,2-1,2.0,1.0,3.0,D,
Fulham,West Ham,1.72,4.15,4.19,0-0,0.0,0.0,0.0,N,
Brighton,Manchester Red,1.81,3.87,4.03,2-2,2.0,2.0,4.0,N,
Wolverhampton,A. Villa,2.47,3.43,2.75,2-0,2.0,0.0,2.0,D,
London Blues,Everton,1.6,3.73,5.98,2-0,2.0,0.0,2.0,D,
N. Forest,Leeds,1.45,4.2,7.57,3-0,3.0,0.0,3.0,D,
Brentford,Liverpool,2.86,4.21,2.11,4-1,4.0,1.0,5.0,D,
London Reds,Bournemouth,1.28,6.25,8.63,3-0,3.0,0.0,3.0,D,
C. Palace,Manchester Blue,4.15,3.66,1.83,1-1,1.0,1.0,2.0,N,
Burnley,Sunderland,2.33,3.49,2.9,1-2,1.0,2.0,3.0,E,
Manchester Red,London Reds,4.02,3.45,1.92,0-1,0.0,1.0,1.0,E,
Manchester Blue,Brighton,1.34,5.98,6.93,1-2,1.0,2.0,3.0,E,
Everton,N. Forest,1.96,3.46,3.84,3-1,3.0,1.0,4.0,D,
A. Villa,Spurs,1.65,4.65,4.19,3-2,3.0,2.0,5.0,D,
Burnley,Wolverhampton,2.39,3.4,2.88,0-3,0.0,3.0,3.0,E,
Liverpool,Bournemouth,1.26,6.3,9.54,3-1,3.0,1.0,4.0,D,
Sunderland,Fulham,7.16,4.48,1.43,1-2,1.0,2.0,3.0,E,
Newcastle,London Blues,1.46,4.73,6.12,1-2,1.0,2.0,3.0,E,
Leeds,Brentford,6.41,4.32,1.49,1-2,1.0,2.0,3.0,E,
West Ham,C. Palace,2.37,3.45,2.86,3-1,3.0,1.0,4.0,D,
N. Forest,Newcastle,2.6,3.61,2.51,1-0,1.0,0.0,1.0,D,
Brentford,Everton,1.72,3.86,4.58,2-0,2.0,0.0,2.0,D,
Leeds,Liverpool,9.15,5.89,1.28,0-2,0.0,2.0,2.0,E,
London Blues,A. Villa,1.7000000000000002,3.84,4.74,2-1,2.0,1.0,3.0,D,
London Reds,Manchester Blue,2.22,3.71,2.93,1-2,1.0,2.0,3.0,E,
C. Palace,Sunderland,1.67,4.06,4.61,1-0,1.0,0.0,1.0,D,
Bournemouth,Manchester Red,2.32,3.22,3.15,1-2,1.0,2.0,3.0,E,
Spurs,Burnley,1.43,5.43,5.7,2-1,2.0,1.0,3.0,D,
Fulham,Wolverhampton,1.69,4.18,4.38,3-0,3.0,0.0,3.0,D,
Brighton,West Ham,1.59,4.35,4.98,2-1,2.0,1.0,3.0,D,
London Reds,Spurs,1.45,5.24,5.54,2-1,2.0,1.0,3.0,D,
Newcastle,Liverpool,1.82,4.16,3.69,2-4,2.0,4.0,6.0,E,
Manchester Blue,West Ham,1.2,7.07,11.28,4-1,4.0,1.0,5.0,D,
Leeds,Burnley,3.32,3.92,1.99,1-1,1.0,1.0,2.0,N,
Brentford,Fulham,2.07,3.94,3.1,1-2,1.0,2.0,3.0,E,
Bournemouth,Wolverhampton,1.85,3.61,4.11,0-0,0.0,0.0,0.0,N,
N. Forest,C. Palace,2.09,3.34,3.54,1-2,1.0,2.0,3.0,E,
Brighton,London Blues,1.91,3.85,3.62,2-2,2.0,2.0,4.0,N,
Everton,A. Villa,2.26,3.17,3.32,2-0,2.0,0.0,2.0,D,
Manchester Red,Sunderland,1.49,4.54,6.01,1-3,1.0,3.0,4.0,E,
Wolverhampton,Manchester Red,2.37,3.41,2.9,1-0,1.0,0.0,1.0,D,
A. Villa,Newcastle,1.87,4.17,3.5,2-0,2.0,0.0,2.0,D,
Burnley,Everton,2.76,2.97,2.76,,,,,,
London Blues,London Reds,3.66,3.44,2.02,2-2,2.0,2.0,4.0,N,
Liverpool,West Ham,1.22,6.46,11.32,2-2,2.0,2.0,4.0,N,
Fulham,Leeds,1.44,4.55,6.9,2-1,2.0,1.0,3.0,D,
Spurs,Bournemouth,1.6800000000000002,4.66,3.98,1-3,1.0,3.0,4.0,E,
C. Palace,Brentford,2.41,3.45,2.8200000000000003,2-1,2.0,1.0,3.0,D,
Brighton,N. Forest,1.55,4.45,5.26,4-0,4.0,0.0,4.0,D,
Sunderland,Manchester Blue,19.14,7.59,1.14,0-6,0.0,6.0,6.0,E,
Burnley,A. Villa,3.2,3.35,2.23,2-0,2.0,0.0,2.0,D,
London Blues,Manchester Red,1.63,3.95,5.14,2-1,2.0,1.0,3.0,D,
Fulham,Newcastle,2.66,3.92,2.33,1-2,1.0,2.0,3.0,E,
Spurs,Manchester Blue,3.63,3.98,1.88,1-0,1.0,0.0,1.0,D,
C. Palace,Everton,1.93,3.31,4.15,4-1,4.0,1.0,5.0,D,
Brighton,Leeds,1.38,4.76,7.86,2-2,2.0,2.0,4.0,N,
Wolverhampton,West Ham,2.05,3.6,3.41,1-1,1.0,1.0,2.0,N,
Liverpool,Sunderland,1.2,6.83,12.27,5-0,5.0,0.0,5.0,D,
London Reds,Brentford,1.44,4.8,6.43,2-2,2.0,2.0,4.0,N,
N. Forest,Bournemouth,1.79,4.03,3.94,3-2,3.0,2.0,5.0,D,
Newcastle,C. Palace,1.45,4.53,6.77,0-0,0.0,0.0,0.0,N,
Burnley,Liverpool,5.52,4.38,1.54,1-1,1.0,1.0,2.0,N,
A. Villa,Fulham,1.7000000000000002,4.12,4.39,3-1,3.0,1.0,4.0,D,
West Ham,Spurs,2.56,4.07,2.36,1-1,1.0,1.0,2.0,N,
Manchester Blue,London Blues,1.34,5.62,7.51,1-0,1.0,0.0,1.0,D,
Manchester Red,N. Forest,1.59,4.17,5.25,1-3,1.0,3.0,4.0,E,
Bournemouth,Brentford,2.64,3.21,2.71,1-2,1.0,2.0,3.0,E,
Leeds,London Reds,17.55,7.01,1.16,0-0,0.0,0.0,0.0,N,
Everton,Brighton,2.67,3.55,2.47,1-1,1.0,1.0,2.0,N,
Sunderland,Wolverhampton,4.23,3.73,1.8,2-3,2.0,3.0,5.0,E,
London Reds,Fulham,1.41,4.92,6.69,3-0,3.0,0.0,3.0,D,
Manchester Blue,Newcastle,1.44,5.17,5.87,1-1,1.0,1.0,2.0,N,
Manchester Red,A. Villa,1.82,3.66,4.2,1-2,1.0,2.0,3.0,E,
Brentford,Wolverhampton,1.57,4.61,4.86,0-0,0.0,0.0,0.0,N,
Leeds,Sunderland,3.58,3.84,1.92,1-2,1.0,2.0,3.0,E,
Brighton,C. Palace,1.82,3.78,4.08,1-1,1.0,1.0,2.0,N,
Everton,West Ham,2.03,3.38,3.67,1-3,1.0,3.0,4.0,E,
N. Forest,Spurs,2.14,3.84,3.0,2-2,2.0,2.0,4.0,N,
Bournemouth,Burnley,1.71,3.98,4.47,1-2,1.0,2.0,3.0,E,
Liverpool,London Blues,1.36,5.15,7.81,4-1,4.0,1.0,5.0,D,
A. Villa,Manchester Blue,2.86,3.7,2.27,0-2,0.0,2.0,2.0,E,
Burnley,Manchester Red,3.09,3.26,2.33,0-0,0.0,0.0,0.0,N,
Fulham,Bournemouth,1.83,4.25,3.61,1-2,1.0,2.0,3.0,E,
London Blues,N. Forest,1.45,4.63,6.51,4-0,4.0,0.0,4.0,D,
C. Palace,London Reds,5.28,3.93,1.62,0-4,0.0,4.0,4.0,E,
Brighton,Liverpool,2.64,3.89,2.36,1-3,1.0,3.0,4.0,E,
West Ham,Newcastle,2.84,3.85,2.23,2-0,2.0,0.0,2.0,D,
Wolverhampton,Leeds,1.63,3.83,5.45,2-1,2.0,1.0,3.0,D,
Spurs,Brentford,1.97,4.03,3.28,2-1,2.0,1.0,3.0,D,
Sunderland,Everton,4.85,3.37,1.8,1-0,1.0,0.0,1.0,D,
Newcastle,Sunderland,1.25,6.22,10.25,5-1,5.0,1.0,6.0,D,
Manchester Blue,Burnley,1.15,8.4,13.71,4-1,4.0,1.0,5.0,D,
Manchester Red,Fulham,1.96,3.55,3.74,2-2,2.0,2.0,4.0,N,
West Ham,A. Villa,2.33,3.56,2.86,1-2,1.0,2.0,3.0,E,
London Reds,Brighton,1.41,5.43,6.04,1-1,1.0,1.0,2.0,N,
Leeds,Spurs,6.19,4.91,1.44,2-3,2.0,3.0,5.0,E,
Brentford,London Blues,2.0,4.02,3.22,3-0,3.0,0.0,3.0,D,
Bournemouth,C. Palace,2.3,3.2,3.2,2-1,2.0,1.0,3.0,D,
Liverpool,N. Forest,1.21,6.74,12.22,1-1,1.0,1.0,2.0,N,
Everton,Wolverhampton,1.89,3.45,4.16,3-1,3.0,1.0,4.0,D,
London Blues,Leeds,1.28,5.34,10.74,4-0,4.0,0.0,4.0,D,
Fulham,Manchester Blue,4.33,3.91,1.74,1-3,1.0,3.0,4.0,E,
Brighton,Bournemouth,1.65,4.47,4.33,1-2,1.0,2.0,3.0,E,
Wolverhampton,Newcastle,3.04,3.77,2.15,2-3,2.0,3.0,5.0,E,
Sunderland,A. Villa,6.42,4.2,1.5,2-2,2.0,2.0,4.0,N,
Spurs,Everton,1.63,4.03,5.03,3-2,3.0,2.0,5.0,D,
C. Palace,Manchester Red,2.09,3.5,3.37,2-1,2.0,1.0,3.0,D,
N. Forest,Brentford,2.24,3.38,3.15,1-0,1.0,0.0,1.0,D,
London Reds,Liverpool,1.69,4.45,4.11,2-2,2.0,2.0,4.0,N,
Burnley,West Ham,2.66,3.45,2.54,1-2,1.0,2.0,3.0,E,
Manchester Red,Leeds,1.37,4.66,8.7,3-0,3.0,0.0,3.0,D,
Brentford,Manchester Blue,3.73,3.96,1.85,0-5,0.0,5.0,5.0,E,
Burnley,A. Villa,3.22,3.28,2.25,1-0,1.0,0.0,1.0,D,
Wolverhampton,London Blues,2.63,3.5,2.53,3-0,3.0,0.0,3.0,D,
Liverpool,Sunderland,1.19,7.03,12.68,2-1,2.0,1.0,3.0,D,
West Ham,Fulham,2.41,3.56,2.75,3-0,3.0,0.0,3.0,D,
London Reds,C. Palace,1.38,4.98,7.54,3-0,3.0,0.0,3.0,D,
Bournemouth,Spurs,2.5,3.72,2.55,1-0,1.0,0.0,1.0,D,
Everton,N. Forest,1.89,3.47,4.13,2-0,2.0,0.0,2.0,D,
Newcastle,Brighton,1.46,4.97,5.69,2-3,2.0,3.0,5.0,E,
A. Villa,Liverpool,2.16,4.1,2.84,3-0,3.0,0.0,3.0,D,
Fulham,Bournemouth,1.86,4.22,3.5,2-1,2.0,1.0,3.0,D,
Spurs,Everton,1.64,4.03,5.0,1-2,1.0,2.0,3.0,E,
London Blues,Burnley,1.34,5.5,7.67,1-1,1.0,1.0,2.0,N,
N. Forest,Manchester Red,1.95,3.5,3.81,0-2,0.0,2.0,2.0,E,
Brighton,Wolverhampton,1.5,4.5600000000000005,5.8100000000000005,0-2,0.0,2.0,2.0,E,
Manchester Blue,West Ham,1.21,6.91,11.05,3-1,3.0,1.0,4.0,D,
Sunderland,London Reds,22.79,8.05,1.12,1-2,1.0,2.0,3.0,E,
Leeds,C. Palace,5.27,3.87,1.63,1-0,1.0,0.0,1.0,D,
Newcastle,Brentford,1.51,4.44,5.8,3-1,3.0,1.0,4.0,D,
Manchester Red,Spurs,1.99,4.01,3.25,1-3,1.0,3.0,4.0,E,
C. Palace,Sunderland,1.71,3.99,4.45,0-1,0.0,1.0,1.0,E,
N. Forest,Leeds,1.48,4.09,7.1,5-0,5.0,0.0,5.0,D,
Everton,Fulham,2.58,3.14,2.83,3-1,3.0,1.0,4.0,D,
Liverpool,London Blues,1.34,5.28,7.9,1-1,1.0,1.0,2.0,N,
Wolverhampton,Brentford,2.8,3.42,2.44,0-1,0.0,1.0,1.0,E,
Burnley,Brighton,3.8,3.95,1.84,1-1,1.0,1.0,2.0,N,
West Ham,Newcastle,2.84,3.83,2.24,2-1,2.0,1.0,3.0,D,
London Reds,A. Villa,1.38,5.1,7.25,1-1,1.0,1.0,2.0,N,
Bournemouth,Manchester Blue,4.93,3.64,1.72,3-1,3.0,1.0,4.0,D,
Leeds,Sunderland,3.74,3.78,1.89,0-1,0.0,1.0,1.0,E,
A. Villa,C. Palace,1.58,4.23,5.28,2-2,2.0,2.0,4.0,N,
Newcastle,Bournemouth,1.29,5.95,8.47,4-0,4.0,0.0,4.0,D,
Wolverhampton,West Ham,2.06,3.61,3.35,2-1,2.0,1.0,3.0,D,
Manchester Blue,Everton,1.23,6.13,12.32,3-2,3.0,2.0,5.0,D,
Brentford,Burnley,1.47,5.17,5.31,2-0,2.0,0.0,2.0,D,
Brighton,Liverpool,2.6,3.91,2.38,2-0,2.0,0.0,2.0,D,
Fulham,Manchester Red,2.05,3.71,3.3,0-2,0.0,2.0,2.0,E,
London Blues,London Reds,3.55,3.47,2.04,1-3,1.0,3.0,4.0,E,
Spurs,N. Forest,1.54,4.75,4.99,3-0,3.0,0.0,3.0,D,
Everton,Newcastle,2.96,3.35,2.36,1-1,1.0,1.0,2.0,N,
London Reds,Brighton,1.43,5.27,5.78,2-2,2.0,2.0,4.0,N,
Manchester Red,Manchester Blue,3.5,3.54,2.03,3-0,3.0,0.0,3.0,D,
Burnley,West Ham,2.67,3.45,2.53,2-3,2.0,3.0,5.0,E,
Sunderland,A. Villa,5.89,4.04,1.56,1-0,1.0,0.0,1.0,D,
N. Forest,Fulham,2.18,3.43,3.24,3-2,3.0,2.0,5.0,D,
Spurs,Leeds,1.34,5.32,8.13,0-1,0.0,1.0,1.0,E,
