equipe_dom,equipe_ext,cote_dom,cote_nul,cote_ext,score,but_dom,but_ext,total_but,resultat,total_buts
Liverpool,Brentford,1.37,4.98,7.87,2-1,2.0,1.0,3.0,D,
West Ham,Fulham,2.45,3.56,2.69,5-0,5.0,0.0,5.0,D,
Brighton,A. Villa,1.86,3.82,3.83,1-1,1.0,1.0,2.0,N,
Sunderland,London Blues,6.68,4.51,1.45,2-0,2.0,0.0,2.0,D,
Newcastle,Spurs,1.46,5.0,5.71,0-2,0.0,2.0,2.0,E,
Everton,Leeds,1.69,3.36,5.8100000000000005,0-0,0.0,0.0,0.0,N,
Burnley,C. Palace,3.23,3.23,2.27,1-2,1.0,2.0,3.0,E,
Manchester Blue,C. Palace,1.27,5.82,9.71,1-0,1.0,0.0,1.0,D,
Everton,Liverpool,3.61,3.56,1.99,2-1,2.0,1.0,3.0,D,
Wolverhampton,West Ham,2.1,3.64,3.23,,,,,,
N. Forest,Leeds,1.45,4.29,7.31,2-1,2.0,1.0,3.0,D,
London Blues,Brighton,1.79,4.23,3.76,1-2,1.0,2.0,3.0,E,
Sunderland,A. Villa,6.61,4.27,1.48,1-3,1.0,3.0,4.0,E,
Manchester Red,Newcastle,2.2,3.76,2.94,2-1,2.0,1.0,3.0,D,
Bournemouth,Spurs,2.46,3.72,2.6,1-1,1.0,1.0,2.0,N,
London Reds,Fulham,1.41,4.87,6.84,3-2,3.0,2.0,5.0,D,
Burnley,Brentford,3.78,3.38,2.0,1-1,1.0,1.0,2.0,N,
Fulham,Bournemouth,1.85,4.18,3.58,2-1,2.0,1.0,3.0,D,
Liverpool,London Reds,2.23,3.42,3.14,1-4,1.0,4.0,5.0,E,
Leeds,Wolverhampton,3.7,3.72,1.92,0-3,0.0,3.0,3.0,E,
A. Villa,London Blues,1.64,4.38,4.54,,,,,,
C. Palace,Sunderland,1.6800000000000002,4.06,4.57,2-0,2.0,0.0,2.0,D,
Spurs,Manchester Red,1.82,4.1,3.73,3-2,3.0,2.0,5.0,D,
West Ham,Manchester Blue,5.13,4.11,1.61,0-5,0.0,5.0,5.0,E,
Brighton,Everton,1.64,3.77,5.37,3-2,3.0,2.0,5.0,D,
N. Forest,Brentford,2.31,3.38,3.03,3-2,3.0,2.0,5.0,D,
Newcastle,Burnley,1.21,6.99,11.05,6-0,6.0,0.0,6.0,D,
Everton,C. Palace,2.43,3.08,3.09,1-4,1.0,4.0,5.0,E,
Burnley,Fulham,3.59,3.44,2.04,0-1,0.0,1.0,1.0,E,
Manchester Blue,Wolverhampton,1.17,7.75,13.28,5-1,5.0,1.0,6.0,D,
Newcastle,N. Forest,1.26,6.09,9.96,5-1,5.0,1.0,6.0,D,
Sunderland,Leeds,3.18,3.14,2.34,1-2,1.0,2.0,3.0,E,
Manchester Red,Liverpool,2.58,3.77,2.45,3-0,3.0,0.0,3.0,D,
Bournemouth,Brighton,2.64,3.65,2.45,1-0,1.0,0.0,1.0,D,
London Reds,A. Villa,1.34,5.36,8.02,4-1,4.0,1.0,5.0,D,
London Blues,West Ham,1.48,4.59,6.03,1-3,1.0,3.0,4.0,E,
Brentford,Spurs,2.03,4.37,2.95,2-2,2.0,2.0,4.0,N,
Spurs,Liverpool,2.5700000000000003,4.26,2.29,1-4,1.0,4.0,5.0,E,
Fulham,N. Forest,1.6800000000000002,4.22,4.37,0-0,0.0,0.0,0.0,N,
London Blues,Sunderland,1.44,4.67,6.55,2-0,2.0,0.0,2.0,D,
Brentford,A. Villa,1.88,4.02,3.59,3-1,3.0,1.0,4.0,D,
Manchester Red,West Ham,1.58,4.19,5.27,2-0,2.0,0.0,2.0,D,
Newcastle,Brighton,1.46,5.02,5.64,1-1,1.0,1.0,2.0,N,
Bournemouth,Leeds,1.59,3.73,6.07,0-0,0.0,0.0,0.0,N,
Everton,Manchester Blue,5.36,3.58,1.6800000000000002,0-0,0.0,0.0,0.0,N,
Burnley,C. Palace,3.12,3.17,2.35,2-0,2.0,0.0,2.0,D,
London Reds,Wolverhampton,1.21,6.84,11.54,3-1,3.0,1.0,4.0,D,
C. Palace,Newcastle,2.5700000000000003,3.7,2.49,0-1,0.0,1.0,1.0,E,
N. Forest,Liverpool,2.97,3.73,2.2,1-3,1.0,3.0,4.0,E,
Manchester Blue,Bournemouth,1.22,7.05,10.47,3-1,3.0,1.0,4.0,D,
London Blues,Everton,1.56,3.78,6.47,5-0,5.0,0.0,5.0,D,
Leeds,Burnley,3.41,3.87,1.97,0-0,0.0,0.0,0.0,N,
Wolverhampton,Manchester Red,2.39,3.39,2.89,0-3,0.0,3.0,3.0,E,
West Ham,Brentford,2.55,3.5,2.61,1-1,1.0,1.0,2.0,N,
Brighton,Fulham,1.94,3.78,3.56,2-2,2.0,2.0,4.0,N,
A. Villa,Spurs,1.6800000000000002,4.57,4.08,2-1,2.0,1.0,3.0,D,
Sunderland,London Reds,24.4,8.15,1.12,1-2,1.0,2.0,3.0,E,
Newcastle,Leeds,1.18,6.82,15.88,3-0,3.0,0.0,3.0,D,
Liverpool,A. Villa,1.29,5.58,9.56,3-1,3.0,1.0,4.0,D,
Brighton,N. Forest,1.51,4.57,5.62,3-0,3.0,0.0,3.0,D,
Manchester Red,Sunderland,1.52,4.4,5.79,2-1,2.0,1.0,3.0,D,
Bournemouth,London Blues,2.56,3.37,2.69,3-0,3.0,0.0,3.0,D,
Burnley,Manchester Blue,7.55,4.37,1.43,1-1,1.0,1.0,2.0,N,
Fulham,C. Palace,2.11,3.54,3.29,2-0,2.0,0.0,2.0,D,
Brentford,Wolverhampton,1.57,4.61,4.87,2-0,2.0,0.0,2.0,D,
London Reds,Everton,1.3,5.26,10.1,4-1,4.0,1.0,5.0,D,
Spurs,West Ham,1.56,4.74,4.79,3-0,3.0,0.0,3.0,D,
London Blues,Burnley,1.35,5.29,7.52,2-1,2.0,1.0,3.0,D,
London Reds,Bournemouth,1.27,6.37,8.7,5-0,5.0,0.0,5.0,D,
Manchester Blue,Newcastle,1.44,5.12,5.8100000000000005,2-1,2.0,1.0,3.0,D,
West Ham,Liverpool,3.63,4.15,1.84,2-2,2.0,2.0,4.0,N,
Everton,Manchester Red,2.33,3.17,3.18,2-2,2.0,2.0,4.0,N,
Sunderland,Brentford,7.87,4.57,1.4,1-1,1.0,1.0,2.0,N,
Leeds,Fulham,5.73,4.16,1.55,0-1,0.0,1.0,1.0,E,
N. Forest,A. Villa,2.09,3.44,3.45,3-0,3.0,0.0,3.0,D,
C. Palace,Brighton,2.23,3.89,2.8200000000000003,2-0,2.0,0.0,2.0,D,
Wolverhampton,Spurs,2.63,3.83,2.38,1-1,1.0,1.0,2.0,N,
N. Forest,West Ham,1.76,3.83,4.35,2-2,2.0,2.0,4.0,N,
Manchester Red,Burnley,1.46,4.75,6.04,3-1,3.0,1.0,4.0,D,
Manchester Blue,Brighton,1.34,5.9,6.9,4-0,4.0,0.0,4.0,D,
Wolverhampton,A. Villa,2.31,3.45,2.96,3-1,3.0,1.0,4.0,D,
Sunderland,Liverpool,12.12,6.58,1.21,0-3,0.0,3.0,3.0,E,
Bournemouth,Brentford,2.61,3.25,2.71,3-2,3.0,2.0,5.0,D,
London Reds,Newcastle,1.56,4.69,4.88,2-2,2.0,2.0,4.0,N,
Leeds,C. Palace,5.15,3.82,1.66,1-2,1.0,2.0,3.0,E,
London Blues,Fulham,1.75,3.82,4.38,1-0,1.0,0.0,1.0,D,
Everton,Spurs,2.66,3.6,2.47,1-3,1.0,3.0,4.0,E,
C. Palace,Manchester Blue,4.6,3.83,1.72,0-2,0.0,2.0,2.0,E,
Liverpool,Everton,1.26,5.44,12.23,3-0,3.0,0.0,3.0,D,
West Ham,Wolverhampton,1.82,3.88,3.95,2-2,2.0,2.0,4.0,N,
Leeds,N. Forest,3.8,3.83,1.86,2-3,2.0,3.0,5.0,E,
Brighton,London Blues,1.95,3.82,3.51,2-2,2.0,2.0,4.0,N,
A. Villa,Sunderland,1.34,5.54,7.54,2-2,2.0,2.0,4.0,N,
Newcastle,Manchester Red,1.39,4.88,7.48,3-2,3.0,2.0,5.0,D,
Spurs,Bournemouth,1.66,4.7,4.11,5-0,5.0,0.0,5.0,D,
Fulham,London Reds,5.33,4.13,1.59,1-4,1.0,4.0,5.0,E,
Brentford,Burnley,1.49,5.12,5.22,4-1,4.0,1.0,5.0,D,
Burnley,Spurs,3.81,3.97,1.83,1-0,1.0,0.0,1.0,D,
Sunderland,West Ham,4.94,3.95,1.66,1-1,1.0,1.0,2.0,N,
Manchester Blue,Leeds,1.12,8.76,20.37,4-0,4.0,0.0,4.0,D,
Bournemouth,Liverpool,3.51,3.73,1.97,1-1,1.0,1.0,2.0,N,
Brentford,Newcastle,2.4,4.09,2.5,3-2,3.0,2.0,5.0,D,
Everton,A. Villa,2.36,3.16,3.13,4-0,4.0,0.0,4.0,D,
Manchester Red,Fulham,1.94,3.62,3.73,3-1,3.0,1.0,4.0,D,
N. Forest,Wolverhampton,1.64,3.99,5.03,1-0,1.0,0.0,1.0,D,
London Blues,C. Palace,1.66,3.89,5.0,2-0,2.0,0.0,2.0,D,
London Reds,Brighton,1.44,5.28,5.69,2-2,2.0,2.0,4.0,N,
Burnley,Leeds,2.0,3.23,3.98,2-2,2.0,2.0,4.0,N,
Brentford,Spurs,2.09,4.34,2.85,3-2,3.0,2.0,5.0,D,
London Blues,London Reds,3.61,3.41,2.04,0-1,0.0,1.0,1.0,E,
Newcastle,Everton,1.32,5.0,10.04,3-0,3.0,0.0,3.0,D,
Fulham,N. Forest,1.67,4.28,4.39,0-3,0.0,3.0,3.0,E,
C. Palace,A. Villa,2.09,3.51,3.38,0-0,0.0,0.0,0.0,N,
Manchester Red,Brighton,1.99,3.95,3.29,4-0,4.0,0.0,4.0,D,
Manchester Blue,Wolverhampton,1.17,7.68,13.72,5-0,5.0,0.0,5.0,D,
West Ham,Bournemouth,2.03,4.0,3.15,0-0,0.0,0.0,0.0,N,
Sunderland,Liverpool,11.98,6.59,1.21,0-0,0.0,0.0,0.0,N,
Burnley,West Ham,2.61,3.39,2.62,0-1,0.0,1.0,1.0,E,
A. Villa,Manchester Red,1.58,4.37,5.02,1-4,1.0,4.0,5.0,E,
Spurs,Sunderland,1.52,4.84,5.08,3-0,3.0,0.0,3.0,D,
N. Forest,London Blues,2.06,3.59,3.37,2-1,2.0,1.0,3.0,D,
